Open,High,Low,Close,Adj Close,Volume,Date
43.75,45.1875,43.375,44.625,28.804607391357422,3295500,2000-02-02
44.625,45.0625,43.125,43.4375,28.038089752197266,2889100,2000-02-03
43.4375,44.1875,42.5625,44.0,28.401185989379883,2927200,2000-02-04
43.875,43.875,41.6875,41.8125,26.98918342590332,3029400,2000-02-07
41.8125,42.0625,40.0,41.0,26.464746475219727,5102700,2000-02-08
40.25,40.25,38.375,39.0,25.260009765625,5525000,2000-02-09
39.0,40.1875,38.75,39.75,25.74578857421875,4060600,2000-02-10
39.75,40.375,39.125,39.875,25.826757431030273,3132800,2000-02-11
39.6875,39.6875,38.0625,38.25,24.77426528930664,2606300,2000-02-14
38.25,38.6875,37.375,38.5,24.936187744140625,3961300,2000-02-15
37.9375,37.9375,36.875,37.25,24.12657356262207,3423000,2000-02-16
37.25,37.875,36.5625,37.5,24.28847885131836,3400500,2000-02-17
37.5,37.5,35.875,36.0,23.31695556640625,5559500,2000-02-18
36.0,39.9375,35.875,38.875,25.179061889648438,4771400,2000-02-22
38.6875,38.6875,37.0625,37.125,24.045595169067383,3880800,2000-02-23
37.0,37.0,35.875,36.5625,23.681276321411133,4210800,2000-02-24
36.8125,38.0,36.8125,37.8125,24.490888595581055,3170600,2000-02-25
37.625,37.625,36.5625,37.0,23.964643478393555,3573300,2000-02-28
37.0,37.625,36.125,36.9375,23.924163818359375,3513100,2000-02-29
36.625,36.625,35.9375,36.3125,23.519357681274414,2838000,2000-03-01
36.3125,37.1875,35.375,35.9375,23.276472091674805,4058200,2000-03-02
35.9375,36.5,35.6875,35.9375,23.276472091674805,3884100,2000-03-03
35.9375,36.1875,35.0,35.125,22.750211715698242,2882000,2000-03-06
35.125,35.125,34.125,34.75,22.507333755493164,3565000,2000-03-07
34.1875,34.1875,33.375,33.375,21.616758346557617,4134600,2000-03-08
33.375,34.5,33.25,33.75,21.859647750854492,3236800,2000-03-09
33.75,33.9375,32.3125,32.375,20.969058990478516,5114300,2000-03-10
32.375,33.125,32.0,32.625,21.1309814453125,3422700,2000-03-13
32.625,33.8125,32.4375,33.0625,21.414350509643555,3727900,2000-03-14
33.0625,35.5,32.875,34.875,22.588289260864258,4859300,2000-03-15
34.875,35.9375,34.6875,35.625,23.074064254760742,4725200,2000-03-16
35.625,38.9375,35.375,38.0,24.612337112426758,15304900,2000-03-17
37.6875,37.6875,36.375,37.0,23.964643478393555,5786400,2000-03-20
37.0,37.4375,36.1875,36.5625,23.681276321411133,4165400,2000-03-21
36.5625,37.1875,35.75,36.25,23.478870391845703,3359600,2000-03-22
35.9375,35.9375,34.8125,35.125,22.750211715698242,4080400,2000-03-23
35.5,36.4375,35.5,36.0,23.31695556640625,5797500,2000-03-24
36.125,37.3125,36.125,37.125,24.045595169067383,2534000,2000-03-27
37.125,38.1875,36.875,38.0,24.612337112426758,5056400,2000-03-28
38.0,38.1875,37.3125,37.875,24.5313720703125,2731000,2000-03-29
37.875,38.9375,37.625,38.625,25.017139434814453,3311100,2000-03-30
38.625,38.8125,37.8125,37.8125,24.490888595581055,4640100,2000-03-31
37.75,37.75,37.0625,37.1875,24.08608627319336,3234700,2000-04-03
