Open,High,Low,Close,Adj Close,Volume,Date
8.5625,8.71875,8.5625,8.71875,7.843267440795898,3943200,1995-12-14
8.8125,8.921875,8.796875,8.921875,8.025997161865234,2577000,1995-12-15
8.90625,8.90625,8.765625,8.796875,7.913548946380615,1046000,1995-12-18
8.765625,8.8125,8.71875,8.78125,7.899493217468262,1140000,1995-12-19
8.8125,8.984375,8.8125,8.953125,8.054106712341309,745400,1995-12-20
8.96875,9.0,8.9375,8.953125,8.054106712341309,646400,1995-12-21
8.953125,9.0625,8.953125,9.03125,8.124388694763184,828200,1995-12-22
8.984375,9.0,8.953125,8.984375,8.082219123840332,212600,1995-12-26
8.953125,8.96875,8.765625,8.8125,7.9276041984558105,815800,1995-12-27
8.765625,8.78125,8.703125,8.78125,7.899493217468262,272800,1995-12-28
8.78125,8.78125,8.609375,8.65625,7.787044525146484,493400,1995-12-29
8.59375,8.75,8.546875,8.703125,7.829212188720703,1095000,1996-01-02
8.71875,8.734375,8.65625,8.734375,7.857325553894043,1899800,1996-01-03
8.71875,8.8125,8.671875,8.71875,7.843267440795898,1872400,1996-01-04
8.71875,8.78125,8.703125,8.78125,7.899493217468262,1389000,1996-01-05
8.75,8.75,8.71875,8.734375,7.857325553894043,397400,1996-01-08
8.71875,8.734375,8.65625,8.6875,7.81515645980835,455200,1996-01-09
8.65625,8.6875,8.453125,8.453125,7.604315757751465,1247600,1996-01-10
8.453125,8.5,8.359375,8.390625,7.548092842102051,1925200,1996-01-11
8.40625,8.46875,8.296875,8.46875,7.618371963500977,736800,1996-01-12
8.46875,8.765625,8.453125,8.765625,7.885436058044434,943400,1996-01-15
8.765625,8.9375,8.765625,8.921875,8.025997161865234,2128400,1996-01-16
8.890625,8.921875,8.84375,8.921875,8.025997161865234,1992200,1996-01-17
8.921875,9.125,8.921875,9.03125,8.124388694763184,2147800,1996-01-18
9.03125,9.421875,9.015625,9.234375,8.307114601135254,2725000,1996-01-19
9.203125,9.296875,9.140625,9.234375,8.307114601135254,1090600,1996-01-22
9.234375,9.234375,9.1875,9.234375,8.307114601135254,739800,1996-01-23
9.125,9.25,9.125,9.15625,8.236838340759277,1090800,1996-01-24
9.171875,9.234375,9.15625,9.21875,8.293061256408691,720800,1996-01-25
9.203125,9.25,9.15625,9.234375,8.307114601135254,647800,1996-01-26
9.21875,9.328125,9.21875,9.3125,8.377400398254395,502400,1996-01-29
9.3125,9.34375,9.234375,9.3125,8.377400398254395,1089200,1996-01-30
9.28125,9.34375,9.265625,9.3125,8.377400398254395,908600,1996-01-31
9.3125,9.3125,9.203125,9.28125,8.349285125732422,917000,1996-02-01
9.328125,9.328125,9.28125,9.3125,8.377400398254395,746000,1996-02-02
9.28125,9.3125,9.140625,9.28125,8.349285125732422,516200,1996-02-05
9.3125,9.375,9.25,9.34375,8.405510902404785,819600,1996-02-06
9.3125,9.390625,9.25,9.28125,8.349285125732422,1113600,1996-02-07
9.28125,9.328125,9.265625,9.3125,8.377400398254395,1408200,1996-02-08
9.234375,9.265625,9.03125,9.09375,8.180614471435547,1340400,1996-02-09
9.03125,9.078125,8.984375,9.078125,8.166557312011719,1867600,1996-02-12
9.078125,9.3125,9.078125,9.265625,8.335229873657227,1266800,1996-02-13
9.28125,9.34375,9.109375,9.15625,8.236838340759277,958400,1996-02-14
9.109375,9.234375,9.109375,9.125,8.208728790283203,591600,1996-02-15
9.109375,9.125,9.046875,9.09375,8.180614471435547,716400,1996-02-16
8.90625,8.90625,8.90625,8.90625,8.011940956115723,0,1996-02-20
8.875,9.03125,8.828125,8.90625,8.011940956115723,1399800,1996-02-21
9.0,9.0,9.0,9.0,8.09627628326416,0,1996-02-22
9.0,9.0625,8.921875,8.984375,8.082219123840332,983400,1996-02-23
9.015625,9.03125,8.953125,8.96875,8.068166732788086,850000,1996-02-26
9.0,9.015625,8.828125,8.9375,8.04005241394043,725600,1996-02-27
8.9375,9.046875,8.9375,8.9375,8.04005241394043,1080800,1996-02-28
8.9375,9.46875,8.9375,9.453125,8.50390338897705,3140000,1996-02-29
9.46875,9.5,9.3125,9.40625,8.4617338180542,1903800,1996-03-01
9.4375,9.609375,9.390625,9.53125,8.574183464050293,507600,1996-03-04
9.46875,9.578125,9.414061546325684,9.546875,8.588242530822754,600600,1996-03-05
9.53125,9.828125,9.5,9.8125,8.827191352844238,1345000,1996-03-06
9.78125,9.84375,9.71875,9.8125,8.827191352844238,841400,1996-03-07
9.65625,9.75,9.4375,9.453125,8.50390338897705,976000,1996-03-08
9.4375,9.46875,9.265625,9.390625,8.447678565979004,1066000,1996-03-11
9.359375,9.453125,9.25,9.40625,8.4617338180542,1262200,1996-03-12
9.4375,9.53125,9.359375,9.46875,8.517960548400879,741200,1996-03-13
9.453125,9.453125,9.34375,9.375,8.433621406555176,490000,1996-03-14
9.359375,9.421875,9.28125,9.421875,8.475789070129395,504600,1996-03-15
9.4375,9.5625,9.390625,9.53125,8.574183464050293,928600,1996-03-18
9.5,9.546875,9.484375,9.515625,8.560129165649414,1950400,1996-03-19
9.515625,9.59375,9.515625,9.546875,8.588242530822754,633200,1996-03-20
9.53125,9.5625,9.484375,9.484375,8.532012939453125,277400,1996-03-21
9.5,9.53125,9.421875,9.515625,8.560129165649414,254600,1996-03-22
9.5,9.546875,9.46875,9.53125,8.574183464050293,425200,1996-03-25
9.484375,9.515625,9.390625,9.46875,8.517960548400879,397400,1996-03-26
9.484375,9.578125,9.453125,9.515625,8.560129165649414,732800,1996-03-27
9.53125,9.65625,9.5,9.59375,8.630406379699707,695600,1996-03-28
9.609375,9.609375,9.4375,9.4375,8.489848136901855,926400,1996-03-29
9.375,9.4375,8.75,9.0,8.09627628326416,1352400,1996-04-01
9.046875,9.140625,8.984375,9.0,8.09627628326416,1980400,1996-04-02
9.0,9.125,8.96875,9.109375,8.194669723510742,2165800,1996-04-03
9.125,9.390625,9.125,9.390625,8.447678565979004,5092000,1996-04-04
9.234375,9.234375,9.046875,9.203125,8.27900505065918,2075400,1996-04-08
9.25,9.28125,8.828125,8.96875,8.068166732788086,2188800,1996-04-09
8.984375,8.984375,8.671875,8.75,7.871379375457764,2037200,1996-04-10
8.796875,8.8125,8.5625,8.8125,7.9276041984558105,3334400,1996-04-11
8.890625,9.0625,8.859375,9.03125,8.124388694763184,2126200,1996-04-12
9.015625,9.140625,8.984375,9.125,8.208728790283203,1237600,1996-04-15
9.15625,9.15625,8.984375,9.015625,8.110335350036621,2089600,1996-04-16
8.96875,8.984375,8.84375,8.875,7.983829498291016,1499600,1996-04-17
8.890625,8.890625,8.796875,8.84375,7.955715656280518,1110600,1996-04-18
8.875,8.875,8.734375,8.75,7.871379375457764,975800,1996-04-19
8.8125,8.9375,8.75,8.9375,8.04005241394043,2913600,1996-04-22
8.90625,8.90625,8.859375,8.890625,7.9978861808776855,1088600,1996-04-23
8.9375,8.9375,8.796875,8.84375,7.955715656280518,2099400,1996-04-24
8.859375,8.890625,8.84375,8.890625,7.9978861808776855,2342000,1996-04-25
8.90625,8.953125,8.84375,8.90625,8.011940956115723,3493400,1996-04-26
8.9375,8.9375,8.859375,8.90625,8.011940956115723,1495200,1996-04-29
8.90625,8.953125,8.890625,8.90625,8.011940956115723,1671200,1996-04-30
8.890625,8.953125,8.875,8.875,7.983829498291016,3062800,1996-05-01
8.875,8.875,8.5,8.5625,7.702707767486572,3296400,1996-05-02
8.546875,8.5625,8.390625,8.484375,7.632428169250488,2551400,1996-05-03
8.546875,8.546875,8.34375,8.40625,7.5621466636657715,1478600,1996-05-06
8.421875,8.46875,8.390625,8.390625,7.548092842102051,1379600,1996-05-07
8.375,8.53125,8.359375,8.515625,7.660540580749512,2989200,1996-05-08
8.5,8.53125,8.453125,8.46875,7.618371963500977,1041400,1996-05-09
8.515625,8.71875,8.5,8.71875,7.843267440795898,1490000,1996-05-10
8.734375,8.8125,8.734375,8.765625,7.885436058044434,2110800,1996-05-13
8.78125,8.921875,8.734375,8.875,7.983829498291016,1820400,1996-05-14
8.90625,8.984375,8.875,8.890625,7.9978861808776855,1880200,1996-05-15
8.859375,8.890625,8.8125,8.859375,7.96977424621582,854000,1996-05-16
8.859375,9.0,8.84375,8.953125,8.054106712341309,1158800,1996-05-17
8.96875,9.171875,8.96875,9.125,8.208728790283203,1767200,1996-05-20
9.15625,9.34375,9.109375,9.152342796325684,8.233320236206055,2317200,1996-05-21
9.28125,9.34375,9.234375,9.328125,8.391453742980957,1838200,1996-05-22
9.328125,9.53125,9.265625,9.359375,8.419568061828613,1267600,1996-05-23
9.375,9.375,9.3125,9.328125,8.391453742980957,386800,1996-05-24
9.328125,9.328125,9.234375,9.25,8.321170806884766,1342800,1996-05-28
9.21875,9.28125,9.171875,9.171875,8.250894546508789,1063800,1996-05-29
9.171875,9.21875,9.0625,9.15625,8.236838340759277,768800,1996-05-30
9.171875,9.265625,9.09375,9.21875,8.293061256408691,1316800,1996-05-31
9.21875,9.234375,9.171875,9.1875,8.264947891235352,1068200,1996-06-03
9.21875,9.265625,9.203125,9.25,8.321170806884766,882800,1996-06-04
9.234375,9.234375,9.203125,9.21875,8.293061256408691,557200,1996-06-05
9.25,9.34375,9.25,9.25,8.321170806884766,1757600,1996-06-06
9.125,9.140625,8.90625,8.984375,8.082219123840332,2122600,1996-06-07
8.9375,8.953125,8.84375,8.9375,8.04005241394043,2997600,1996-06-10
8.953125,9.140625,8.953125,9.125,8.208728790283203,1655200,1996-06-11
9.171875,9.21875,9.078125,9.078125,8.166557312011719,1339200,1996-06-12
9.078125,9.203125,9.078125,9.109375,8.194669723510742,1694400,1996-06-13
9.109375,9.171875,9.078125,9.15625,8.236838340759277,1398800,1996-06-14
9.171875,9.171875,9.015625,9.109375,8.194669723510742,2156400,1996-06-17
9.078125,9.234375,9.078125,9.203125,8.27900505065918,2536000,1996-06-18
9.1875,9.28125,9.1875,9.234375,8.307114601135254,3366800,1996-06-19
9.25,9.25,9.0625,9.109375,8.194669723510742,2979400,1996-06-20
9.109375,9.125,8.8125,9.078125,8.166557312011719,1616800,1996-06-21
9.078125,9.078125,8.984375,9.046875,8.138449668884277,1229000,1996-06-24
9.0,9.078125,9.0,9.03125,8.124388694763184,2520200,1996-06-25
9.0,9.0,8.921875,8.96875,8.068166732788086,1289600,1996-06-26
9.0,9.0,8.921875,8.96875,8.068166732788086,1747000,1996-06-27
8.984375,9.015625,8.9375,8.9375,8.04005241394043,700000,1996-06-28
8.953125,9.234375,8.953125,9.203125,8.27900505065918,1878400,1996-07-01
9.203125,9.203125,9.046875,9.0625,8.152499198913574,820000,1996-07-02
9.046875,9.046875,8.921875,8.953125,8.054106712341309,1370000,1996-07-03
8.890625,8.890625,8.734375,8.734375,7.857325553894043,1050000,1996-07-05
8.75,8.75,8.421875,8.734375,7.857325553894043,2042400,1996-07-08
8.453125,8.484375,8.3125,8.453125,7.604315757751465,2703800,1996-07-09
8.3125,8.328125,8.09375,8.3125,7.477810382843018,2661000,1996-07-10
7.25,8.15625,6.96875,8.15625,7.337250709533691,2850400,1996-07-11
7.6875,7.859375,7.640625,7.640625,6.8734025955200195,6471200,1996-07-12
7.859375,7.859375,7.515625,7.859375,7.070186138153076,5511400,1996-07-15
7.609375,7.671875,7.421875,7.609375,6.845289707183838,4408800,1996-07-16
7.6875,7.703125,7.546875,7.546875,6.789065361022949,5428800,1996-07-17
7.65625,7.8125,7.640625,7.671875,6.901514053344727,3380200,1996-07-18
7.765625,7.765625,7.59375,7.765625,6.9858503341674805,3073800,1996-07-19
7.671875,7.6875,7.53125,7.671875,6.901514053344727,3047200,1996-07-22
7.5625,7.578125,7.484375,7.578125,6.817177772521973,2997800,1996-07-23
7.40625,7.546875,7.34375,7.5,6.746897220611572,4953800,1996-07-24
7.40625,7.453125,7.34375,7.40625,6.662561416625977,1040200,1996-07-25
7.5,7.53125,7.40625,7.40625,6.662561416625977,1950600,1996-07-26
7.5,7.53125,7.453125,7.5,6.746897220611572,918000,1996-07-29
7.484375,7.484375,7.265625,7.46875,6.718786239624023,4248600,1996-07-30
7.359375,7.359375,7.21875,7.34375,6.6063385009765625,2516400,1996-07-31
7.265625,7.28125,7.203125,7.265625,6.536057949066162,2988000,1996-08-01
