Open,High,Low,Close,Adj Close,Volume,Date
14.0,14.25,14.0,14.125,9.345780372619629,3162400,1999-10-01
14.125,14.125,14.0,14.0,9.263076782226562,533400,1999-10-04
14.0,14.125,14.0,14.125,9.345780372619629,270600,1999-10-05
14.125,14.875,14.125,14.875,9.842016220092773,205400,1999-10-06
14.875,14.875,14.0625,14.125,9.345780372619629,214200,1999-10-07
14.1875,14.1875,14.0625,14.0625,9.304430961608887,65600,1999-10-08
14.0625,14.125,14.0,14.0625,9.304430961608887,77500,1999-10-11
14.0625,14.125,14.0,14.125,9.345780372619629,49200,1999-10-12
14.125,14.375,14.0,14.0625,9.304430961608887,49900,1999-10-13
14.0,14.0625,13.25,13.625,9.0149564743042,430900,1999-10-14
13.125,13.1875,12.6875,13.0625,8.642781257629395,158200,1999-10-15
13.0,13.0,12.5,12.8125,8.47736930847168,83800,1999-10-18
12.75,13.25,12.75,13.25,8.766843795776367,58200,1999-10-19
13.375,13.5,13.125,13.125,8.68413257598877,62600,1999-10-20
13.125,13.4375,13.0,13.4375,8.890900611877441,98200,1999-10-21
13.375,13.5625,13.3125,13.5,8.932252883911133,191200,1999-10-22
13.4375,13.9375,13.4375,13.9375,9.221722602844238,153100,1999-10-25
13.8125,14.125,13.8125,14.0,9.263076782226562,65600,1999-10-26
14.0,14.1875,14.0,14.0625,9.304430961608887,100900,1999-10-27
14.1875,14.5,14.125,14.125,9.345780372619629,255300,1999-10-28
14.125,15.25,14.125,15.25,10.090134620666504,123200,1999-10-29
15.0,15.0,14.625,14.75,9.75931453704834,41800,1999-11-01
14.75,14.875,14.3125,14.75,9.75931453704834,66600,1999-11-02
14.6875,14.875,14.6875,14.75,9.75931453704834,18500,1999-11-03
14.875,15.125,14.5,14.9375,9.883369445800781,72100,1999-11-04
15.0,15.875,14.875,15.75,10.420958518981934,122900,1999-11-05
15.875,17.375,15.8125,16.625,10.999900817871094,240000,1999-11-08
16.75,16.75,16.125,16.125,10.669075012207031,42400,1999-11-09
16.0,16.125,15.8125,16.0625,10.627725601196289,59900,1999-11-10
16.0625,16.25,16.0625,16.125,10.669075012207031,20000,1999-11-11
16.25,18.5,16.25,18.0,11.90966510772705,248500,1999-11-12
18.1875,18.1875,17.5,17.6875,11.702902793884277,99200,1999-11-15
17.6875,17.6875,17.375,17.4375,11.53748893737793,95300,1999-11-16
17.6875,18.25,17.25,17.5,11.578842163085938,107900,1999-11-17
17.5,17.5,17.25,17.25,11.413432121276855,67500,1999-11-18
17.25,17.75,17.1875,17.625,11.66154670715332,31200,1999-11-19
17.5625,17.875,17.5625,17.8125,11.78561019897461,36500,1999-11-22
17.8125,19.375,17.8125,19.125,12.654022216796875,65500,1999-11-23
19.0,19.0,18.375,18.5625,12.28184700012207,53800,1999-11-24
18.5,18.5,18.375,18.4375,12.199135780334473,2600,1999-11-26
18.375,18.375,17.875,18.125,11.9923734664917,20200,1999-11-29
18.1875,18.5,18.1875,18.375,12.15778636932373,38100,1999-11-30
18.375,18.625,18.25,18.5625,12.28184700012207,43800,1999-12-01
18.5625,19.0,18.5625,19.0,12.571313858032227,33200,1999-12-02
19.125,19.375,19.0625,19.1875,12.69537353515625,62000,1999-12-03
19.1875,19.1875,18.25,18.375,12.15778636932373,38200,1999-12-06
18.5,19.0,18.4375,18.625,12.32319450378418,112500,1999-12-07
18.5,18.5,18.0,18.1875,12.03372859954834,27700,1999-12-08
18.25,18.375,18.125,18.25,12.075080871582031,15500,1999-12-09
18.125,18.125,17.625,17.625,11.66154670715332,22400,1999-12-10
17.75,18.0,17.4375,17.4375,11.53748893737793,44500,1999-12-13
17.25,17.25,17.0625,17.125,11.330728530883789,19400,1999-12-14
17.125,17.125,16.875,17.125,11.330728530883789,11100,1999-12-15
17.0625,17.25,16.8125,16.8125,11.123960494995117,90700,1999-12-16
16.6875,17.25,16.6875,17.125,11.330728530883789,37300,1999-12-17
17.0,17.0,16.8125,16.9375,11.206670761108398,31300,1999-12-20
16.9375,17.0625,16.875,17.0,11.248019218444824,11800,1999-12-21
17.125,17.375,17.125,17.1875,11.372077941894531,6300,1999-12-22
17.1875,17.25,17.0,17.125,11.330728530883789,3700,1999-12-23
17.0625,17.125,17.0625,17.125,11.330728530883789,2400,1999-12-27
17.0625,17.625,17.0625,17.375,11.496136665344238,65600,1999-12-28
17.4375,17.4375,17.125,17.25,11.413432121276855,9600,1999-12-29
17.125,17.375,17.125,17.3125,11.45478343963623,5100,1999-12-30
17.25,17.375,17.1875,17.1875,11.372077941894531,13000,1999-12-31
17.4375,17.5,16.625,16.625,10.999900817871094,64600,2000-01-03
16.625,16.625,15.625,15.875,10.50366497039795,81900,2000-01-04
15.75,15.75,15.0,15.75,10.420958518981934,38100,2000-01-05
15.75,16.25,15.75,16.0,10.586373329162598,41200,2000-01-06
15.875,16.25,15.75,15.875,10.50366497039795,34700,2000-01-07
16.5,16.5,16.0,16.0,10.586373329162598,94200,2000-01-10
16.125,16.875,16.0,16.4375,10.875839233398438,39700,2000-01-11
16.5,17.125,16.5,17.125,11.330728530883789,25100,2000-01-12
17.25,17.5,16.875,16.9375,11.206670761108398,62000,2000-01-13
17.0,17.75,16.875,17.5,11.578842163085938,183100,2000-01-14
17.75,18.25,17.75,18.0,11.90966510772705,77300,2000-01-18
18.0,18.375,17.9375,18.25,12.075080871582031,34500,2000-01-19
18.25,18.25,17.375,17.5,11.578842163085938,42200,2000-01-20
17.4375,17.5,17.25,17.375,11.496136665344238,16000,2000-01-21
17.5,17.5,17.0,17.125,11.330728530883789,10700,2000-01-24
17.125,17.5,17.0625,17.25,11.413432121276855,19200,2000-01-25
17.25,17.5,17.25,17.4375,11.53748893737793,16600,2000-01-26
17.4375,18.0,17.4375,17.5,11.578842163085938,33600,2000-01-27
17.625,17.625,17.3125,17.375,11.496136665344238,3900,2000-01-28
17.125,17.5,17.125,17.5,11.578842163085938,53900,2000-01-31
17.375,17.75,17.375,17.75,11.744253158569336,15400,2000-02-01
18.0,18.125,17.875,17.9375,11.868314743041992,92700,2000-02-02
18.0625,18.125,17.9375,18.0,11.90966510772705,35200,2000-02-03
18.125,18.5625,18.125,18.4375,12.199135780334473,51500,2000-02-04
18.4375,18.5625,18.375,18.5,12.240489959716797,25200,2000-02-07
18.5,18.875,18.5,18.5625,12.28184700012207,45300,2000-02-08
18.75,18.75,18.375,18.375,12.15778636932373,9100,2000-02-09
18.5,18.5,17.875,17.875,11.8269624710083,9700,2000-02-10
17.875,18.0,17.875,17.9375,11.868314743041992,24700,2000-02-11
18.0625,18.0625,17.875,18.0,11.90966510772705,7100,2000-02-14
17.875,18.0,17.875,17.875,11.8269624710083,4900,2000-02-15
17.875,18.5,17.875,18.5,12.240489959716797,69000,2000-02-16
18.5,18.6875,18.3125,18.375,12.15778636932373,28100,2000-02-17
18.375,18.5625,18.375,18.5,12.240489959716797,5000,2000-02-18
18.625,18.8125,18.5625,18.5625,12.28184700012207,10700,2000-02-22
18.5625,18.9375,18.5625,18.8125,12.447258949279785,5700,2000-02-23
18.875,19.125,18.875,19.0,12.571313858032227,61800,2000-02-24
19.0,19.25,19.0,19.25,12.736725807189941,41400,2000-02-25
19.25,20.125,19.25,20.125,13.315670013427734,35700,2000-02-28
21.75,21.875,21.625,21.875,14.473550796508789,79900,2000-02-29
22.5,22.75,21.75,21.75,14.39085578918457,140600,2000-03-01
22.0,22.25,22.0,22.0625,14.597620010375977,26600,2000-03-02
22.125,22.125,22.0625,22.125,14.638972282409668,17300,2000-03-03
22.0625,22.25,22.0625,22.0625,14.597620010375977,9900,2000-03-06
22.125,22.125,21.75,22.0,14.556262016296387,26200,2000-03-07
22.0,22.1875,22.0,22.0,14.556262016296387,31700,2000-03-08
21.875,22.0,21.75,22.0,14.556262016296387,7800,2000-03-09
22.0,22.125,21.9375,22.125,14.638972282409668,5200,2000-03-10
22.375,23.125,22.25,22.875,15.135194778442383,27900,2000-03-13
22.875,23.0,22.875,22.875,15.135194778442383,1300,2000-03-14
23.125,24.125,22.625,24.125,15.962265968322754,29000,2000-03-15
24.125,25.0,24.125,24.375,16.127676010131836,19500,2000-03-16
23.375,24.75,23.375,24.75,16.375795364379883,73300,2000-03-17
24.0,24.25,23.875,24.0,15.879559516906738,134700,2000-03-20
23.75,24.0,23.75,24.0,15.879559516906738,172200,2000-03-21
23.75,23.75,22.625,22.625,14.969788551330566,35900,2000-03-22
22.625,22.625,22.5,22.5,14.887091636657715,1300,2000-03-23
22.5,22.5,22.375,22.4375,14.845733642578125,5600,2000-03-24
22.1875,22.1875,22.0,22.0625,14.597620010375977,19600,2000-03-27
22.0625,22.0625,19.75,20.0,13.23296070098877,42600,2000-03-28
19.75,19.875,19.75,19.75,13.067553520202637,77000,2000-03-29
19.8125,20.5,19.8125,20.4375,13.52243423461914,18700,2000-03-30
20.4375,20.4375,20.25,20.25,13.398377418518066,23500,2000-03-31
20.25,20.6875,20.25,20.625,13.646492958068848,4000,2000-04-03
20.625,20.875,20.625,20.75,13.72920036315918,77700,2000-04-04
20.75,21.4375,20.625,21.4375,14.184080123901367,32700,2000-04-05
21.375,22.4375,21.125,22.375,14.804381370544434,12500,2000-04-06
22.25,24.4375,22.25,24.25,16.044973373413086,44500,2000-04-07
24.25,24.25,24.0,24.0,15.879559516906738,16100,2000-04-10
24.125,24.125,24.0,24.0625,15.920914649963379,6300,2000-04-11
24.0,24.0,23.8125,23.875,15.796846389770508,3800,2000-04-12
23.75,23.75,23.375,23.375,15.466029167175293,4900,2000-04-13
23.25,23.25,23.0,23.0,15.217911720275879,10200,2000-04-14
22.875,22.875,22.375,22.4375,14.845733642578125,15500,2000-04-17
22.3125,22.3125,21.875,21.9375,14.514909744262695,2900,2000-04-18
21.8125,21.9375,21.0,21.0,13.894613265991211,20400,2000-04-19
21.0,21.15625,20.9375,21.125,13.97732162475586,78800,2000-04-20
21.0625,21.625,21.0,21.625,14.30814266204834,15100,2000-04-24
21.875,24.5,21.6875,24.0,15.879559516906738,74600,2000-04-25
24.25,24.25,23.8125,24.125,15.962265968322754,67700,2000-04-26
24.0,24.375,24.0,24.3125,16.086322784423828,12600,2000-04-27
24.5,26.0,24.375,26.0,17.20285415649414,43100,2000-04-28
26.25,26.5,24.0,24.0,15.879559516906738,97500,2000-05-01
24.125,24.125,23.75,23.8125,15.755500793457031,6100,2000-05-02
23.5625,24.375,23.5625,24.25,16.044973373413086,23000,2000-05-03
24.0,24.0,23.625,23.625,15.63144302368164,6300,2000-05-04
23.5,23.875,23.5,23.6875,15.672796249389648,6200,2000-05-05
23.5625,24.125,23.5,24.0,15.879559516906738,20400,2000-05-08
24.125,24.375,24.0625,24.375,16.127676010131836,19900,2000-05-09
24.5,25.0625,24.375,25.0625,16.582555770874023,23400,2000-05-10
25.125,25.75,25.125,25.25,16.706613540649414,30200,2000-05-11
25.0,25.75,24.875,25.75,17.03744125366211,32300,2000-05-12
25.75,26.5,25.625,25.75,17.03744125366211,73700,2000-05-15
25.8125,26.5,25.625,26.25,17.36826515197754,26100,2000-05-16
26.375,26.5,26.25,26.375,17.45096778869629,5300,2000-05-17
26.375,26.375,26.0625,26.1875,17.326915740966797,9400,2000-05-18
26.1875,26.1875,26.0,26.125,17.28556251525879,38200,2000-05-19
26.0,26.0,25.8125,25.8125,17.078786849975586,6700,2000-05-22
25.375,25.375,23.75,23.75,15.71414566040039,63200,2000-05-23
23.25,23.625,23.0,23.25,15.383318901062012,33100,2000-05-24
23.375,23.5,23.375,23.375,15.466029167175293,12500,2000-05-25
23.375,23.625,23.25,23.25,15.383318901062012,64800,2000-05-26
23.25,23.25,22.8125,23.25,15.383318901062012,89000,2000-05-30
23.25,24.1875,23.25,24.0625,15.920914649963379,68300,2000-05-31
24.0625,24.75,24.0625,24.375,16.127676010131836,38200,2000-06-01
24.5,26.0,24.5,25.75,17.03744125366211,62400,2000-06-02
25.625,27.0,25.375,26.875,17.781801223754883,145400,2000-06-05
26.875,26.875,26.375,26.4375,17.492326736450195,61200,2000-06-06
26.4375,26.4375,25.9375,25.9375,17.161502838134766,16400,2000-06-07
25.8125,25.8125,25.375,25.4375,16.830673217773438,32200,2000-06-08
25.375,25.4375,25.25,25.4375,16.830673217773438,29700,2000-06-09
25.4375,25.4375,24.5,25.25,16.706613540649414,75500,2000-06-12
24.75,26.0,24.75,26.0,17.20285415649414,185700,2000-06-13
26.0,26.9375,26.0,26.8125,17.740442276000977,162900,2000-06-14
27.0625,28.0,27.0625,27.5,18.195323944091797,104300,2000-06-15
27.5,29.25,27.5,29.0,19.18779945373535,222700,2000-06-16
29.25,29.375,28.75,28.8125,19.06374168395996,197500,2000-06-19
28.625,28.625,28.0,28.4375,18.81562614440918,68600,2000-06-20
28.5,29.25,28.5,29.25,19.35320281982422,35700,2000-06-21
29.1875,31.375,29.0,30.875,20.428388595581055,53000,2000-06-22
30.875,30.90625,30.0,30.1875,19.973506927490234,53900,2000-06-23
30.0,31.0,29.75,31.0,20.511091232299805,85500,2000-06-26
31.25,32.625,31.125,32.375,21.420856475830078,58000,2000-06-27
32.375,36.0,32.0,35.0,23.157684326171875,128800,2000-06-28
35.0,35.0,32.625,32.625,21.586275100708008,292000,2000-06-29
32.875,34.0,29.0,29.0,19.18779945373535,583600,2000-06-30
29.1875,29.625,29.125,29.25,19.35320281982422,80300,2000-07-03
29.25,29.5,28.375,29.375,19.435916900634766,80400,2000-07-05
29.125,29.25,28.75,28.875,19.1050968170166,56000,2000-07-06
28.625,29.75,28.3125,29.75,19.684032440185547,36300,2000-07-07
29.875,32.125,29.875,32.0,21.172746658325195,76900,2000-07-10
32.125,33.8125,32.125,33.375,22.08250617980957,106000,2000-07-11
33.0625,34.25,32.3125,34.25,22.661457061767578,286500,2000-07-12
34.25,34.25,33.6875,33.6875,22.28927993774414,87400,2000-07-13
33.6875,33.875,33.4375,33.875,22.413341522216797,13700,2000-07-14
33.875,34.0,33.0625,33.0625,21.875743865966797,49800,2000-07-17
32.875,32.875,31.5625,32.3125,21.37950325012207,60500,2000-07-18
32.3125,32.3125,31.9375,32.125,21.255451202392578,98500,2000-07-19
32.1875,32.625,32.0625,32.5625,21.544921875,28000,2000-07-20
32.6875,33.875,32.6875,33.8125,22.37198257446289,20000,2000-07-21
33.8125,36.375,33.8125,34.0625,22.537395477294922,103000,2000-07-24
34.125,34.5,33.75,33.75,22.33061981201172,76600,2000-07-25
33.8125,34.375,33.8125,34.0625,22.537395477294922,62200,2000-07-26
34.0,34.0625,34.0,34.0625,22.537395477294922,18100,2000-07-27
34.3125,34.3125,34.0,34.0,22.49603843688965,129100,2000-07-28
33.9375,34.0,33.6875,33.75,22.33061981201172,69000,2000-07-31
33.75,33.75,33.5625,33.625,22.247920989990234,4900,2000-08-01
33.5625,33.625,33.5,33.5625,22.206565856933594,4400,2000-08-02
33.625,33.75,33.5,33.625,22.247920989990234,26700,2000-08-03
33.75,33.75,33.6875,33.75,22.33061981201172,14900,2000-08-04
33.875,33.875,31.125,32.375,21.420856475830078,77600,2000-08-07
32.5,33.0,32.5,32.875,21.751678466796875,16000,2000-08-08
33.0,33.875,32.0,33.875,22.413341522216797,57000,2000-08-09
33.875,33.875,33.5,33.625,22.247920989990234,15600,2000-08-10
33.5,33.5,33.25,33.3125,22.04115104675293,8300,2000-08-11
33.375,33.625,33.3125,33.5,22.165218353271484,16400,2000-08-14
33.5,33.625,33.3125,33.375,22.08250617980957,17600,2000-08-15
33.5,33.6875,33.5,33.6875,22.28927993774414,36700,2000-08-16
33.6875,34.875,33.6875,34.75,22.992273330688477,34400,2000-08-17
34.75,34.75,34.5,34.625,22.90956687927246,20400,2000-08-18
34.5625,35.0,34.5625,34.875,23.07497787475586,15200,2000-08-21
35.0,35.5,35.0,35.375,23.405805587768555,6200,2000-08-22
35.375,35.4375,34.625,34.75,22.992273330688477,8500,2000-08-23
34.75,35.0625,34.5625,35.0,23.157684326171875,92100,2000-08-24
34.875,35.375,34.875,35.3125,23.36444854736328,33300,2000-08-25
35.3125,35.5,35.25,35.3125,23.36444854736328,31200,2000-08-28
35.25,38.5,35.25,38.125,25.225326538085938,24900,2000-08-29
38.25,39.0,37.25,38.0,25.142627716064453,36300,2000-08-30
38.0,41.0,38.0,41.0,27.127574920654297,45700,2000-08-31
41.25,42.625,41.25,41.6875,27.582456588745117,38900,2000-09-01
41.4375,41.75,41.125,41.5,27.45840072631836,17500,2000-09-05
41.25,41.375,40.375,40.4375,26.75540542602539,21100,2000-09-06
39.625,39.75,35.5,36.625,24.232864379882812,241400,2000-09-07
36.5,37.0625,36.0,37.0,24.480979919433594,59900,2000-09-08
37.25,38.625,37.25,38.625,25.556161880493164,40900,2000-09-11
38.75,39.0,38.375,38.875,25.721574783325195,41300,2000-09-12
38.75,38.9375,38.75,38.9375,25.762928009033203,7300,2000-09-13
38.875,39.125,38.625,38.625,25.556161880493164,21800,2000-09-14
38.375,38.5,37.875,38.0,25.142627716064453,66200,2000-09-15
37.875,38.375,37.625,38.0,25.142627716064453,97200,2000-09-18
38.0,38.375,37.8125,38.375,25.3907470703125,20000,2000-09-19
38.125,38.25,38.0,38.25,25.30804443359375,22100,2000-09-20
38.0,38.0,36.5,36.5,24.150161743164062,21400,2000-09-21
36.25,36.875,34.625,34.625,22.90956687927246,66400,2000-09-22
34.625,36.0,34.625,35.625,23.57122039794922,60500,2000-09-25
35.625,35.75,35.25,35.3125,23.36444854736328,49400,2000-09-26
35.375,35.375,34.25,34.75,22.992273330688477,32600,2000-09-27
34.6875,34.6875,33.25,33.5625,22.206565856933594,82000,2000-09-28
33.625,34.75,32.0,32.0,21.172746658325195,72800,2000-09-29
32.25,33.0,31.875,33.0,21.834396362304688,121600,2000-10-02
33.375,36.0,33.375,35.0,23.157684326171875,105500,2000-10-03
35.0,35.25,34.0625,35.125,23.240386962890625,99000,2000-10-04
35.125,36.8125,35.125,36.8125,24.356922149658203,40800,2000-10-05
36.8125,38.625,36.75,37.0,24.480979919433594,130100,2000-10-06
37.25,37.5,37.0,37.375,24.729101181030273,77500,2000-10-09
37.5,38.0,37.5,37.75,24.977209091186523,69600,2000-10-10
37.625,37.625,36.0,36.0625,23.860692977905273,32600,2000-10-11
36.0625,36.25,35.75,35.875,23.736629486083984,37900,2000-10-12
36.125,38.625,36.0,38.625,25.556161880493164,70500,2000-10-13
38.75,40.0,38.75,39.875,26.38320541381836,72700,2000-10-16
39.875,40.0,38.5,38.75,25.638866424560547,112000,2000-10-17
38.0,42.0,38.0,41.625,27.541112899780273,228500,2000-10-18
42.0,42.5,40.125,40.75,26.962162017822266,125300,2000-10-19
40.75,42.625,40.75,42.0625,27.830595016479492,59200,2000-10-20
42.0625,42.0625,40.3125,41.375,27.375701904296875,96200,2000-10-23
41.25,41.25,38.625,39.5,26.135107040405273,122100,2000-10-24
39.375,40.5,39.375,40.5,26.796754837036133,44600,2000-10-25
40.375,41.0,40.375,40.8125,27.00351333618164,46800,2000-10-26
41.0,43.0,41.0,42.4375,28.078706741333008,124300,2000-10-27
42.5,43.0,41.5625,42.5,28.120058059692383,114300,2000-10-30
42.625,43.0,42.375,42.625,28.202747344970703,85200,2000-10-31
42.375,42.625,41.5,42.375,28.03734588623047,94000,2000-11-01
42.25,44.875,42.0,44.25,29.277944564819336,58400,2000-11-02
44.5,44.5,43.5625,43.6875,28.90575408935547,36600,2000-11-03
43.9375,44.25,43.25,43.625,28.86440658569336,141800,2000-11-06
43.625,44.1875,43.5,43.6875,28.90575408935547,49000,2000-11-07
43.4375,43.75,43.4375,43.5,28.78171157836914,50200,2000-11-08
43.375,44.5,42.75,44.25,29.277944564819336,91200,2000-11-09
44.125,44.5,43.9375,44.125,29.195240020751953,15600,2000-11-10
44.0,44.0,41.0,42.5,28.120058059692383,64900,2000-11-13
42.25,43.75,42.25,43.375,28.698989868164062,41200,2000-11-14
43.25,45.5,43.25,45.125,29.85687828063965,90700,2000-11-15
45.0,47.9375,45.0,46.0,30.435823440551758,100100,2000-11-16
46.25,46.75,46.0,46.5625,30.807994842529297,24300,2000-11-17
46.4375,46.4375,44.1875,44.875,29.69146728515625,59200,2000-11-20
43.25,43.25,39.75,41.75,27.623815536499023,237700,2000-11-21
41.0,41.5,40.5625,41.5,27.45840072631836,41000,2000-11-22
41.25,42.5,41.25,42.5,28.120058059692383,13400,2000-11-24
43.0,43.375,42.5,43.125,28.533588409423828,49800,2000-11-27
43.125,44.0,43.125,43.875,29.02981948852539,22400,2000-11-28
44.125,44.125,43.375,44.0,29.112524032592773,86800,2000-11-29
44.0,44.0,43.0,43.625,28.86440658569336,35800,2000-11-30
43.625,44.375,43.625,43.8125,28.988460540771484,14000,2000-12-01
43.75,44.0,42.75,42.75,28.28545379638672,36700,2000-12-04
42.625,44.0,42.625,44.0,29.112524032592773,80000,2000-12-05
44.25,47.125,44.25,45.0,29.77418327331543,30900,2000-12-06
45.125,45.625,45.0,45.4375,30.063640594482422,31300,2000-12-07
45.5,48.0,45.4375,47.5,31.42829132080078,31800,2000-12-08
47.5,47.5,47.0,47.125,31.180171966552734,66200,2000-12-11
47.0,47.375,45.0,45.0,29.77418327331543,31600,2000-12-12
45.0625,45.375,44.75,44.75,29.608762741088867,102100,2000-12-13
44.75,44.8125,44.125,44.25,29.277944564819336,34800,2000-12-14
44.125,44.125,42.5,43.1875,28.574928283691406,87100,2000-12-15
43.4375,45.75,43.4375,45.25,29.939577102661133,30200,2000-12-18
45.0,45.25,43.4375,43.4375,28.740339279174805,83900,2000-12-19
43.25,43.625,41.0,41.75,27.623815536499023,95100,2000-12-20
41.75,41.9375,39.5,40.125,26.548641204833984,83300,2000-12-21
40.125,40.125,37.625,38.5,25.473451614379883,101000,2000-12-22
38.4375,39.3125,38.375,39.3125,26.01104164123535,31700,2000-12-26
39.375,41.125,38.5625,41.125,27.210277557373047,82800,2000-12-27
41.125,44.25,41.125,43.375,28.698989868164062,57300,2000-12-28
43.4375,44.0,42.0,42.0,27.789226531982422,71700,2000-12-29
42.25,42.5625,40.0,40.0,26.46592140197754,54000,2001-01-02
39.75,40.125,39.25,39.8125,26.341861724853516,54000,2001-01-03
40.0625,40.6875,39.375,39.375,26.052392959594727,65700,2001-01-04
39.375,39.375,35.375,35.75,23.6539249420166,94500,2001-01-05
36.0,37.1875,36.0,36.5,24.150161743164062,75800,2001-01-08
36.875,37.0,36.3125,36.3125,24.026107788085938,17900,2001-01-09
36.375,38.0,36.375,37.875,25.059917449951172,42500,2001-01-10
37.625,38.75,36.625,36.625,24.232864379882812,53700,2001-01-11
36.875,37.25,35.75,37.0,24.480979919433594,51800,2001-01-12
37.5,38.0625,36.0625,38.0,25.142627716064453,116400,2001-01-16
38.5,41.5,38.5,40.25,26.63134002685547,128800,2001-01-17
40.25,40.5,40.0,40.375,26.714038848876953,67600,2001-01-18
40.375,41.25,39.8125,39.8125,26.341861724853516,62200,2001-01-19
39.8125,39.9375,39.375,39.9375,26.424571990966797,41200,2001-01-22
39.9375,40.375,39.5,40.3125,26.672691345214844,46500,2001-01-23
40.375,40.375,39.1875,39.1875,25.9283447265625,23300,2001-01-24
39.1875,39.5,38.75,39.5,26.135107040405273,140000,2001-01-25
39.5,39.6875,39.4375,39.5625,26.17644500732422,29500,2001-01-26
39.5,41.310001373291016,39.5,41.25,27.292985916137695,74000,2001-01-29
41.25,41.54999923706055,40.75,40.790000915527344,26.988632202148438,63400,2001-01-30
41.0,41.0,39.65999984741211,39.91999816894531,26.41299819946289,42000,2001-01-31
40.0,41.25,39.75,41.0,27.127574920654297,120700,2001-02-01
41.0,42.599998474121094,41.0,42.5,28.120058059692383,65800,2001-02-02
42.75,43.0,41.0,41.0,27.127574920654297,50500,2001-02-05
40.75,41.25,40.0,41.20000076293945,27.25990867614746,35000,2001-02-06
41.20000076293945,44.0,41.20000076293945,42.86000061035156,28.35824966430664,76500,2001-02-07
43.0,43.400001525878906,42.540000915527344,43.0,28.450885772705078,48200,2001-02-08
43.0,43.0,42.20000076293945,42.20000076293945,27.921550750732422,27200,2001-02-09
42.20000076293945,43.709999084472656,42.0,43.38999938964844,28.70890235900879,33100,2001-02-12
43.13999938964844,43.9900016784668,43.13999938964844,43.599998474121094,28.847850799560547,33900,2001-02-13
43.459999084472656,43.459999084472656,42.5,43.099998474121094,28.517038345336914,20800,2001-02-14
43.349998474121094,43.5,42.70000076293945,43.400001525878906,28.715530395507812,18400,2001-02-15
43.20000076293945,43.20000076293945,41.93000030517578,42.099998474121094,27.85539436340332,29600,2001-02-16
42.099998474121094,42.099998474121094,39.099998474121094,39.400001525878906,26.06893539428711,52200,2001-02-20
39.20000076293945,39.79999923706055,39.099998474121094,39.369998931884766,26.049081802368164,48400,2001-02-21
39.29999923706055,39.29999923706055,39.0,39.0099983215332,25.810895919799805,85500,2001-02-22
39.0099983215332,39.75,39.0099983215332,39.75,26.300519943237305,62700,2001-02-23
39.79999923706055,42.650001525878906,39.79999923706055,42.099998474121094,27.85539436340332,50100,2001-02-26
42.349998474121094,42.5,41.0,41.0,27.127574920654297,30400,2001-02-27
41.099998474121094,41.099998474121094,39.0,39.400001525878906,26.06893539428711,59400,2001-02-28
39.400001525878906,40.45000076293945,39.25,40.29999923706055,26.664417266845703,19700,2001-03-01
40.20000076293945,41.54999923706055,40.04999923706055,40.5099983215332,26.80337142944336,11000,2001-03-02
40.70000076293945,40.79999923706055,39.04999923706055,39.560001373291016,26.174808502197266,20500,2001-03-05
39.650001525878906,40.70000076293945,39.25,39.599998474121094,26.201271057128906,13600,2001-03-06
39.70000076293945,40.16999816894531,39.5,39.900001525878906,26.399749755859375,23300,2001-03-07
39.900001525878906,41.0,39.900001525878906,39.95000076293945,26.432844161987305,20700,2001-03-08
39.95000076293945,39.95000076293945,37.25,37.599998474121094,24.87797737121582,74300,2001-03-09
