Open,High,Low,Close,Adj Close,Volume,Date
10.6875,11.0625,10.5625,11.0,7.708101749420166,1116800,1986-07-09
11.0625,11.125,10.6875,10.9375,7.664303779602051,595600,1986-07-10
10.875,10.9375,10.5625,10.5625,7.401527404785156,800400,1986-07-11
10.625,10.625,10.125,10.25,7.182546138763428,738000,1986-07-14
10.1875,10.1875,9.3125,9.9375,6.963566780090332,2059200,1986-07-15
9.9375,10.5,9.9375,10.125,7.094956398010254,1160400,1986-07-16
10.125,10.25,10.0,10.1875,7.138752460479736,1046000,1986-07-17
10.1875,10.34375,10.0,10.25,7.182546138763428,1420000,1986-07-18
10.25,10.3125,10.1875,10.25,7.182546138763428,322800,1986-07-21
10.25,10.28125,10.1875,10.1875,7.138752460479736,390800,1986-07-22
10.25,10.25,10.0,10.0625,7.051159858703613,1004000,1986-07-23
10.0625,10.125,9.8125,9.9375,6.963566780090332,1071600,1986-07-24
9.9375,10.125,9.875,10.0625,7.051159858703613,688400,1986-07-25
10.0625,10.25,9.96875,10.125,7.094956398010254,414800,1986-07-28
10.0,10.1875,10.0,10.1875,7.138752460479736,278400,1986-07-29
10.0625,10.125,9.875,10.125,7.094956398010254,459200,1986-07-30
10.125,10.25,10.0,10.0625,7.051159858703613,1213600,1986-07-31
10.0,10.125,9.75,9.75,6.83218240737915,1118000,1986-08-01
9.8125,9.8125,9.53125,9.75,6.83218240737915,892400,1986-08-04
9.75,9.75,9.5,9.5625,6.700793266296387,868800,1986-08-05
9.5625,9.625,9.125,9.125,6.394216537475586,550400,1986-08-06
9.0,9.0625,8.125,8.375,5.868667125701904,7560000,1986-08-07
8.4375,8.9375,8.375,8.875,6.219036102294922,2802000,1986-08-08
9.0,9.125,8.875,9.125,6.394216537475586,1428000,1986-08-11
9.125,9.4375,9.125,9.375,6.569403648376465,1155200,1986-08-12
9.4375,10.09375,9.375,9.6875,6.788384914398193,865600,1986-08-13
9.75,9.8125,9.375,9.5,6.656993389129639,762000,1986-08-14
9.5,9.5,9.1875,9.375,6.569403648376465,654400,1986-08-15
9.4375,9.875,9.25,9.6875,6.788384914398193,606800,1986-08-18
9.75,9.75,9.5,9.5625,6.700793266296387,2744000,1986-08-19
9.5625,9.5625,9.375,9.5,6.656993389129639,500000,1986-08-20
9.5,9.5625,9.4375,9.4375,6.613199234008789,353200,1986-08-21
9.5,9.5625,9.375,9.375,6.569403648376465,286000,1986-08-22
9.5,9.5,9.125,9.25,6.481810092926025,766400,1986-08-25
9.1875,9.375,9.1875,9.375,6.569403648376465,408800,1986-08-26
9.375,9.375,9.1875,9.3125,6.525605201721191,686400,1986-08-27
9.3125,9.3125,9.125,9.1875,6.438014984130859,286000,1986-08-28
9.125,9.25,9.0625,9.125,6.394216537475586,1128800,1986-08-29
9.1875,9.1875,8.6875,8.75,6.131442070007324,916800,1986-09-02
8.75,8.9375,8.6875,8.9375,6.262832164764404,684400,1986-09-03
9.0,9.3125,8.875,9.3125,6.525605201721191,576800,1986-09-04
9.3125,9.4375,9.0,9.0,6.306629657745361,961600,1986-09-05
9.125,9.125,8.625,8.75,6.131442070007324,1793200,1986-09-08
8.6875,8.75,8.5,8.625,6.043848991394043,388000,1986-09-09
8.625,8.625,8.5,8.5,5.956261157989502,802400,1986-09-10
8.5625,8.5625,7.75,7.9375,5.5620951652526855,6240000,1986-09-11
7.875,7.9375,7.5625,7.625,5.343115329742432,2066800,1986-09-12
7.625,7.75,7.4375,7.625,5.343115329742432,1746800,1986-09-15
7.5625,7.625,7.3125,7.4375,5.21172571182251,1547200,1986-09-16
7.5,7.5,7.0625,7.375,5.167928695678711,997600,1986-09-17
7.375,8.75,7.375,8.75,6.131442070007324,833200,1986-09-18
8.75,8.75,8.1875,8.5625,6.000053405761719,928000,1986-09-19
8.5625,8.6875,8.375,8.5,5.956261157989502,464000,1986-09-22
8.5625,8.5625,8.0625,8.25,5.781073570251465,436400,1986-09-23
8.25,8.5625,8.125,8.5,5.956261157989502,649600,1986-09-24
8.5,8.5,8.3125,8.3125,5.824871063232422,305600,1986-09-25
8.3125,8.4375,8.25,8.3125,5.824871063232422,278400,1986-09-26
8.375,8.375,8.0625,8.25,5.781073570251465,724800,1986-09-29
8.1875,8.75,8.1875,8.5625,6.000053405761719,773200,1986-09-30
8.6875,8.75,8.5625,8.5625,6.000053405761719,668400,1986-10-01
8.5625,8.625,8.5625,8.5625,6.000053405761719,592000,1986-10-02
8.625,8.625,8.25,8.375,5.868667125701904,228000,1986-10-03
8.5,8.5,8.3125,8.4375,5.9124650955200195,467600,1986-10-06
8.375,8.5,8.375,8.4375,5.9124650955200195,176000,1986-10-07
8.5,8.625,8.4375,8.625,6.043848991394043,558800,1986-10-08
8.625,8.625,8.375,8.4375,5.9124650955200195,243200,1986-10-09
8.4375,8.4375,8.25,8.3125,5.824871063232422,238400,1986-10-10
8.375,8.375,8.0625,8.0625,5.649686813354492,362800,1986-10-13
8.0625,8.625,8.0625,8.5,5.956261157989502,612000,1986-10-14
8.5625,8.8125,8.5,8.75,6.131442070007324,606800,1986-10-15
8.75,8.8125,8.6875,8.6875,6.087646007537842,269200,1986-10-16
8.75,8.75,8.4375,8.5,5.956261157989502,216000,1986-10-17
8.4375,8.5,8.0625,8.3125,5.824871063232422,595200,1986-10-20
8.3125,8.3125,8.1875,8.1875,5.737277984619141,327200,1986-10-21
8.3125,8.3125,8.1875,8.25,5.781073570251465,396000,1986-10-22
8.3125,8.3125,8.25,8.28125,5.802972316741943,1358400,1986-10-23
8.3125,8.375,8.25,8.3125,5.824871063232422,809600,1986-10-24
8.375,8.375,8.25,8.3125,5.824871063232422,305200,1986-10-27
8.25,8.5,8.25,8.5,5.956261157989502,329200,1986-10-28
8.5,9.0,8.5,8.875,6.219036102294922,835600,1986-10-29
8.875,9.1875,8.8125,9.0625,6.350423336029053,973200,1986-10-30
9.0625,9.0625,8.875,9.0,6.306629657745361,632400,1986-10-31
8.875,9.0625,8.875,9.0,6.306629657745361,408800,1986-11-03
8.9375,9.0625,8.9375,8.9375,6.262832164764404,283200,1986-11-04
9.0,9.0,8.875,8.875,6.219036102294922,231200,1986-11-05
8.875,8.9375,8.5625,8.8125,6.175240516662598,434000,1986-11-06
8.8125,8.9375,8.75,8.78125,6.15333890914917,517200,1986-11-07
8.8125,8.8125,8.625,8.75,6.131442070007324,503200,1986-11-10
8.8125,8.9375,8.6875,8.9375,6.262832164764404,142000,1986-11-11
8.9375,9.03125,8.875,8.96875,6.284733772277832,669600,1986-11-12
8.9375,9.0,8.375,8.375,5.868667125701904,578800,1986-11-13
8.3125,8.4375,8.1875,8.375,5.868667125701904,806000,1986-11-14
8.375,8.4375,8.25,8.375,5.868667125701904,734400,1986-11-17
8.4375,8.4375,8.1875,8.25,5.781073570251465,605600,1986-11-18
8.3125,8.375,8.1875,8.3125,5.824871063232422,495600,1986-11-19
8.3125,8.5,8.3125,8.5,5.956261157989502,828400,1986-11-20
8.5625,9.0,8.5,8.9375,6.262832164764404,666800,1986-11-21
8.8125,9.25,8.8125,9.125,6.394216537475586,715600,1986-11-24
9.0,9.125,8.9375,9.0,6.306629657745361,424000,1986-11-25
8.9375,9.0625,8.9375,9.0625,6.350423336029053,171600,1986-11-26
9.0625,9.0625,8.875,9.0,6.306629657745361,236000,1986-11-28
9.0,9.0625,8.8125,8.875,6.219036102294922,596000,1986-12-01
8.9375,8.96875,8.84375,8.9375,6.262832164764404,845600,1986-12-02
8.875,9.0625,8.875,9.0625,6.350423336029053,1016800,1986-12-03
9.0,9.1875,8.8125,8.9375,6.262832164764404,643200,1986-12-04
8.875,8.9375,8.5,8.5625,6.000053405761719,636400,1986-12-05
8.5,8.625,8.3125,8.5,5.956261157989502,712000,1986-12-08
8.4375,8.5625,8.4375,8.4375,5.9124650955200195,302400,1986-12-09
8.5,8.5,8.3125,8.375,5.868667125701904,341200,1986-12-10
8.4375,8.4375,7.9375,8.0625,5.649686813354492,1172000,1986-12-11
8.1875,8.1875,8.0625,8.0625,5.649686813354492,332000,1986-12-12
8.0625,8.625,8.0,8.625,6.043848991394043,768400,1986-12-15
8.5625,8.6875,8.5625,8.6875,6.087646007537842,770000,1986-12-16
8.6875,8.75,8.5,8.5,5.956261157989502,345200,1986-12-17
8.5,8.625,8.3125,8.4375,5.9124650955200195,349200,1986-12-18
8.4375,8.5,8.375,8.375,5.868667125701904,883600,1986-12-19
8.4375,8.625,8.375,8.5,5.956261157989502,371600,1986-12-22
8.5625,8.625,8.3125,8.375,5.868667125701904,282800,1986-12-23
8.375,8.375,8.3125,8.3125,5.824871063232422,189200,1986-12-24
8.3125,8.375,8.25,8.375,5.868667125701904,180000,1986-12-26
8.3125,8.375,8.125,8.375,5.868667125701904,462000,1986-12-29
8.3125,8.375,8.125,8.1875,5.737277984619141,485200,1986-12-30
8.28125,8.375,8.1875,8.1875,5.737277984619141,378400,1986-12-31
8.1875,8.375,8.125,8.34375,5.846769332885742,363600,1987-01-02
8.375,9.1875,8.375,9.125,6.394216537475586,1222000,1987-01-05
9.125,9.125,8.8125,8.875,6.219036102294922,1120000,1987-01-06
9.0,9.375,9.0,9.375,6.569403648376465,976800,1987-01-07
