Open,High,Low,Close,Adj Close,Volume,Date
8.125,8.71875,8.09375,8.625,6.656589031219482,35659200,1995-11-17
8.59375,8.8125,8.1875,8.3125,6.415409088134766,8434000,1995-11-20
8.25,8.28125,7.9375,8.15625,6.294817924499512,6440000,1995-11-21
8.125,8.53125,8.125,8.40625,6.487761497497559,3480800,1995-11-22
8.46875,8.71875,8.4375,8.71875,6.728944778442383,1279200,1995-11-24
8.71875,8.90625,8.625,8.75,6.753061771392822,2403200,1995-11-27
8.75,8.78125,8.5,8.625,6.656589031219482,1054800,1995-11-28
8.59375,8.96875,8.5625,8.75,6.753061771392822,1331200,1995-11-29
8.84375,9.1875,8.8125,9.09375,7.0183634757995605,2426000,1995-11-30
9.09375,9.125,8.9375,9.0,6.946004867553711,978400,1995-12-01
9.03125,9.09375,8.84375,8.90625,6.873653411865234,594000,1995-12-04
8.90625,8.90625,8.625,8.78125,6.777177810668945,1148800,1995-12-05
8.75,9.0,8.75,8.8125,6.801297187805176,1216000,1995-12-06
8.875,8.90625,8.6875,8.75,6.753061771392822,641200,1995-12-07
8.71875,8.96875,8.625,8.96875,6.9218902587890625,668800,1995-12-08
9.0,9.09375,8.96875,9.09375,7.0183634757995605,660000,1995-12-11
9.03125,9.0625,8.71875,8.75,6.753061771392822,971600,1995-12-12
8.8125,8.8125,8.53125,8.6875,6.704823017120361,528400,1995-12-13
8.71875,8.71875,8.4375,8.4375,6.5118794441223145,639200,1995-12-14
8.5,8.5625,8.34375,8.375,6.463644504547119,1366400,1995-12-15
8.375,8.40625,8.25,8.28125,6.39129114151001,741600,1995-12-18
8.25,8.53125,8.21875,8.4375,6.5118794441223145,643600,1995-12-19
8.46875,8.6875,8.46875,8.625,6.656589031219482,360400,1995-12-20
8.59375,8.78125,8.5625,8.6875,6.704823017120361,301600,1995-12-21
8.71875,8.75,8.625,8.75,6.753061771392822,208400,1995-12-22
8.71875,8.71875,8.5,8.53125,6.584235191345215,240000,1995-12-26
8.625,8.84375,8.625,8.84375,6.825416088104248,351600,1995-12-27
8.875,8.90625,8.78125,8.8125,6.801297187805176,344400,1995-12-28
8.78125,8.84375,8.65625,8.71875,6.728944778442383,219200,1995-12-29
8.71875,8.78125,8.65625,8.75,6.753061771392822,169200,1996-01-02
8.78125,8.9375,8.65625,8.71875,6.728944778442383,682000,1996-01-03
8.75,8.8125,8.53125,8.65625,6.680705547332764,414800,1996-01-04
8.53125,8.59375,8.28125,8.4375,6.5118794441223145,773600,1996-01-05
8.4375,8.46875,8.375,8.46875,6.535996913909912,48800,1996-01-08
8.5,8.5,8.375,8.375,6.463644504547119,864000,1996-01-09
8.28125,8.375,8.125,8.28125,6.39129114151001,458400,1996-01-10
8.3125,8.5625,8.3125,8.46875,6.535996913909912,477600,1996-01-11
8.4375,8.6875,8.40625,8.6875,6.704823017120361,338400,1996-01-12
8.6875,8.75,8.625,8.65625,6.680705547332764,580800,1996-01-15
8.59375,8.59375,8.21875,8.4375,6.5118794441223145,512800,1996-01-16
8.3125,8.375,8.125,8.375,6.463644504547119,126400,1996-01-17
8.28125,8.34375,8.03125,8.15625,6.294817924499512,696000,1996-01-18
8.15625,8.1875,8.0625,8.09375,6.246581077575684,792800,1996-01-19
8.09375,8.46875,8.09375,8.3125,6.415409088134766,568800,1996-01-22
8.25,8.28125,8.15625,8.15625,6.294817924499512,798400,1996-01-23
8.125,8.28125,8.125,8.28125,6.39129114151001,776400,1996-01-24
8.25,8.5625,8.25,8.5625,6.6083550453186035,1303200,1996-01-25
8.5625,8.59375,8.5,8.5625,6.6083550453186035,634800,1996-01-26
8.59375,8.59375,8.375,8.4375,6.5118794441223145,652000,1996-01-29
8.4375,9.40625,8.375,9.25,7.138949871063232,2810800,1996-01-30
9.1875,9.53125,9.125,9.21875,7.1148295402526855,1136400,1996-01-31
9.1875,9.21875,8.84375,9.03125,6.970126152038574,516800,1996-02-01
9.09375,9.3125,9.09375,9.25,7.138949871063232,702400,1996-02-02
9.3125,9.46875,9.25,9.40625,7.25954008102417,756400,1996-02-05
9.40625,9.5625,9.375,9.46875,7.307775020599365,455200,1996-02-06
9.53125,9.84375,9.5,9.78125,7.548955917358398,650800,1996-02-07
9.75,9.8125,9.53125,9.5625,7.380133628845215,571600,1996-02-08
9.625,9.625,9.46875,9.59375,7.404248237609863,520800,1996-02-09
9.53125,9.5625,9.25,9.34375,7.211305618286133,619200,1996-02-12
9.25,9.28125,9.125,9.1875,7.09071683883667,204400,1996-02-13
9.21875,9.4375,9.15625,9.15625,7.066596508026123,410000,1996-02-14
9.28125,9.4375,9.28125,9.34375,7.211305618286133,348800,1996-02-15
9.34375,9.34375,9.15625,9.1875,7.09071683883667,322400,1996-02-16
9.0625,9.1875,8.9375,9.0625,6.994243621826172,633200,1996-02-20
9.09375,9.21875,9.09375,9.125,7.042478084564209,497600,1996-02-21
9.125,9.125,8.78125,9.09375,7.0183634757995605,1184000,1996-02-22
9.125,9.34375,9.09375,9.3125,7.1871843338012695,532400,1996-02-23
9.3125,9.34375,9.1875,9.25,7.138949871063232,359600,1996-02-26
9.3125,9.375,9.125,9.15625,7.066596508026123,1742400,1996-02-27
9.1875,9.25,9.1875,9.21875,7.1148295402526855,921600,1996-02-28
9.21875,9.375,9.125,9.15625,7.066596508026123,812400,1996-02-29
9.28125,9.53125,9.21875,9.46875,7.307775020599365,605600,1996-03-01
9.5,9.5,9.3125,9.375,7.235421657562256,650800,1996-03-04
9.3125,9.46875,9.28125,9.40625,7.25954008102417,511200,1996-03-05
9.4375,9.46875,9.3125,9.3125,7.1871843338012695,445600,1996-03-06
9.28125,9.34375,9.203125,9.21875,7.1148295402526855,547600,1996-03-07
9.0625,9.21875,8.84375,9.0,6.946004867553711,625200,1996-03-08
9.0,9.0,8.84375,8.875,6.849532127380371,217200,1996-03-11
