Open,High,Low,Close,Adj Close,Volume,Date
76.0,77.25,70.0,70.375,53.89237976074219,22320900,1999-05-04
69.875,69.875,66.25,69.125,52.93516159057617,7565700,1999-05-05
68.0,69.375,67.0625,67.9375,52.0257682800293,2905700,1999-05-06
67.9375,74.875,66.75,74.125,56.76409149169922,4862300,1999-05-07
73.375,73.5,70.25,70.6875,54.131675720214844,2589400,1999-05-10
70.0,71.1875,69.5,70.625,54.083839416503906,1839800,1999-05-11
71.0,74.875,69.125,73.5,56.28548812866211,2659300,1999-05-12
73.25,75.25,72.5,73.1875,56.04619216918945,1142900,1999-05-13
71.25,72.25,69.0625,70.1875,53.74880599975586,2058400,1999-05-14
69.125,70.25,68.0,68.625,52.552249908447266,2075000,1999-05-17
68.25,70.4375,68.125,68.625,52.552249908447266,1407100,1999-05-18
69.375,69.8125,68.75,69.3125,53.078731536865234,727400,1999-05-19
69.5625,70.125,68.375,68.375,52.36082458496094,520800,1999-05-20
68.125,68.8125,67.5,67.5,51.69074630737305,936200,1999-05-21
67.0,67.25,65.0,65.3125,50.01558303833008,1493000,1999-05-24
64.125,65.9375,64.0,64.5,49.393367767333984,1662400,1999-05-25
65.625,66.625,63.0625,66.0625,50.589935302734375,1602900,1999-05-26
65.0,67.75,64.6875,67.75,51.88217544555664,1220500,1999-05-27
67.75,68.8125,67.0,67.9375,52.0257682800293,901900,1999-05-28
66.625,66.625,63.5625,64.1875,49.15408706665039,953900,1999-06-01
63.75,64.0625,62.0,63.25,48.436153411865234,2204300,1999-06-02
64.0,64.1875,63.125,63.625,48.72332000732422,852600,1999-06-03
64.3125,67.0,64.3125,65.375,50.06343460083008,1357400,1999-06-04
65.1875,67.75,65.1875,65.9375,50.49419403076172,891900,1999-06-07
65.375,65.6875,63.75,63.75,48.81903839111328,571700,1999-06-08
64.25,65.5,63.625,65.5,50.15917205810547,611400,1999-06-09
64.875,64.9375,63.3125,63.375,48.531864166259766,664200,1999-06-10
63.9375,64.3125,62.3125,63.25,48.436153411865234,969300,1999-06-11
63.5,64.0,60.5,61.25,46.9045524597168,821100,1999-06-14
