Open,High,Low,Close,Adj Close,Volume,Date
21.0,22.5,20.75,21.625,4.266332149505615,719200,1994-01-28
21.5,21.625,21.125,21.375,4.2170090675354,86900,1994-01-31
21.25,21.375,21.125,21.25,4.192348957061768,56900,1994-02-01
21.25,21.5,21.25,21.25,4.192348957061768,43600,1994-02-02
21.25,21.5,21.25,21.5,4.241669654846191,42900,1994-02-03
21.25,21.5,21.125,21.125,4.167687892913818,56500,1994-02-04
21.125,21.5,21.125,21.375,4.2170090675354,40900,1994-02-07
21.5,22.25,21.5,22.0,4.340314865112305,205400,1994-02-08
22.125,22.75,22.125,22.25,4.389636516571045,76900,1994-02-09
22.25,23.0,22.25,23.0,4.537599563598633,42500,1994-02-10
22.875,23.875,22.875,23.5,4.6362433433532715,49400,1994-02-11
23.25,24.5,23.25,23.875,4.710225582122803,97400,1994-02-14
23.75,24.0,23.125,23.125,4.562260150909424,62100,1994-02-15
23.125,23.625,23.125,23.375,4.611584186553955,26700,1994-02-16
23.625,24.125,23.625,24.125,4.759548664093018,8900,1994-02-17
24.125,24.375,24.0,24.25,4.784210205078125,27900,1994-02-18
24.0,24.125,23.75,23.75,4.685563564300537,25000,1994-02-22
24.0,24.0,23.25,23.375,4.611584186553955,48100,1994-02-23
23.25,23.875,23.0,23.25,4.586921215057373,48500,1994-02-24
23.0,23.0,22.75,22.875,4.512940406799316,36000,1994-02-25
23.125,23.125,22.5,22.625,4.463618755340576,14500,1994-02-28
22.625,23.25,22.5,23.0,4.537599563598633,74900,1994-03-01
23.25,23.75,23.0,23.5,4.6362433433532715,21700,1994-03-02
23.5,23.5,23.0,23.0,4.537599563598633,8600,1994-03-03
23.25,23.25,22.75,23.0,4.537599563598633,5000,1994-03-04
22.75,23.125,22.75,22.875,4.512940406799316,13200,1994-03-07
22.75,22.75,22.25,22.625,4.463618755340576,9800,1994-03-08
22.625,22.625,22.5,22.5,4.438957691192627,38700,1994-03-09
22.375,22.5,22.25,22.5,4.438957691192627,28800,1994-03-10
22.125,22.125,22.0,22.0,4.340314865112305,5800,1994-03-11
22.0,23.75,22.0,23.25,4.586921215057373,59900,1994-03-14
23.5,23.5,22.875,22.875,4.512940406799316,4400,1994-03-15
23.0,23.5,23.0,23.375,4.611584186553955,10800,1994-03-16
23.25,23.5,23.25,23.5,4.6362433433532715,18900,1994-03-17
23.625,23.625,23.25,23.25,4.586921215057373,7400,1994-03-18
23.25,23.25,23.125,23.25,4.586921215057373,4100,1994-03-21
23.125,23.625,23.125,23.25,4.586921215057373,33600,1994-03-22
23.375,23.5,23.25,23.375,4.611584186553955,1900,1994-03-23
23.5,24.0,23.5,24.0,4.734888076782227,18400,1994-03-24
23.75,24.0,23.75,23.75,4.685563564300537,5300,1994-03-25
23.625,23.625,23.25,23.5,4.6362433433532715,11500,1994-03-28
23.875,23.875,23.25,23.25,4.586921215057373,4200,1994-03-29
23.125,23.125,23.0,23.125,4.562260150909424,20600,1994-03-30
23.0,23.125,23.0,23.125,4.562260150909424,14200,1994-03-31
23.0,23.125,22.75,22.75,4.488279819488525,29900,1994-04-04
23.0,23.125,22.75,23.125,4.562260150909424,1500,1994-04-05
23.125,23.125,23.0,23.125,4.562260150909424,5100,1994-04-06
23.25,23.5,23.25,23.375,4.611584186553955,3800,1994-04-07
23.5,23.5,23.125,23.375,4.611584186553955,9900,1994-04-08
23.375,23.5,23.375,23.5,4.6362433433532715,900,1994-04-11
23.25,23.25,23.25,23.25,4.586921215057373,1600,1994-04-12
23.5,23.5,23.25,23.25,4.586921215057373,7100,1994-04-13
23.375,23.375,23.25,23.375,4.611584186553955,1300,1994-04-14
23.375,23.75,23.25,23.75,4.685563564300537,10800,1994-04-15
23.5,23.625,23.375,23.375,4.611584186553955,9900,1994-04-18
23.25,23.375,23.125,23.125,4.562260150909424,40200,1994-04-19
23.125,23.125,22.875,22.875,4.512940406799316,22400,1994-04-20
23.125,23.375,23.125,23.375,4.611584186553955,4400,1994-04-21
23.25,24.0,23.125,24.0,4.734888076782227,72100,1994-04-22
24.25,24.375,24.0,24.0,4.734888076782227,19200,1994-04-25
23.875,24.0,23.875,24.0,4.786743640899658,1100,1994-04-26
24.0,24.5,24.0,24.375,4.861537456512451,4000,1994-04-28
24.375,24.625,24.375,24.375,4.861537456512451,6200,1994-04-29
24.625,24.625,24.375,24.625,4.9113993644714355,5700,1994-05-02
24.5,24.75,24.5,24.5,4.886469841003418,2900,1994-05-03
24.625,24.75,24.125,24.75,4.936330795288086,10600,1994-05-04
25.0,25.75,25.0,25.5,5.085916996002197,19800,1994-05-05
25.25,25.25,25.125,25.25,5.0360517501831055,8600,1994-05-06
25.375,25.375,25.125,25.125,5.011123180389404,10900,1994-05-09
25.375,25.5,25.125,25.375,5.060987949371338,19000,1994-05-10
25.375,25.75,25.375,25.625,5.110849380493164,5000,1994-05-11
25.75,25.75,25.5,25.5,5.085916996002197,10100,1994-05-12
25.5,25.75,25.5,25.75,5.135778903961182,9000,1994-05-13
25.625,25.75,25.625,25.625,5.110849380493164,4100,1994-05-16
25.75,25.75,25.625,25.75,5.135778903961182,4400,1994-05-17
25.75,25.75,25.25,25.25,5.0360517501831055,35400,1994-05-18
25.375,25.375,25.25,25.25,5.0360517501831055,22900,1994-05-19
25.375,25.375,25.25,25.25,5.0360517501831055,2500,1994-05-20
25.0,25.0,24.5,24.5,4.886469841003418,18200,1994-05-23
24.375,24.375,24.0,24.125,4.811678409576416,32100,1994-05-24
24.25,24.625,24.25,24.625,4.9113993644714355,14900,1994-05-25
24.75,25.0,24.75,25.0,4.986190319061279,15300,1994-05-26
25.0,25.0,24.75,24.875,4.961261749267578,2700,1994-05-27
24.875,25.0,24.75,25.0,4.986190319061279,15600,1994-05-31
25.0,25.0,24.875,25.0,4.986190319061279,4000,1994-06-01
24.875,25.0,24.875,25.0,4.986190319061279,10500,1994-06-02
25.0,25.0,24.875,24.875,4.961261749267578,14500,1994-06-03
25.0,25.0,24.5,24.875,4.961261749267578,21900,1994-06-06
24.625,24.875,24.625,24.875,4.961261749267578,15600,1994-06-07
24.75,24.875,24.75,24.875,4.961261749267578,5500,1994-06-08
24.75,25.0,24.625,25.0,4.986190319061279,10600,1994-06-09
25.25,25.375,25.0,25.0,4.986190319061279,13800,1994-06-10
25.0,25.25,25.0,25.25,5.0360517501831055,7800,1994-06-13
25.125,25.5,25.125,25.25,5.0360517501831055,5100,1994-06-14
25.375,25.625,25.0,25.625,5.110849380493164,16200,1994-06-15
25.875,26.5,25.875,26.25,5.235501289367676,4100,1994-06-16
26.0,26.125,26.0,26.125,5.210570335388184,7100,1994-06-17
26.0,26.375,26.0,26.375,5.26043176651001,900,1994-06-20
26.125,26.625,26.125,26.625,5.3102946281433105,5400,1994-06-21
26.375,27.0,26.375,26.625,5.3102946281433105,4200,1994-06-22
26.75,26.75,26.375,26.375,5.26043176651001,70900,1994-06-23
26.375,26.625,26.0,26.0,5.185639381408691,13100,1994-06-24
26.0,26.25,26.0,26.125,5.210570335388184,18000,1994-06-27
26.0,26.0,26.0,26.0,5.185639381408691,1900,1994-06-28
25.75,25.75,25.5,25.5,5.085916996002197,20900,1994-06-29
25.25,25.375,24.625,25.0,4.986190319061279,32200,1994-06-30
25.0,25.0,25.0,25.0,4.986190319061279,800,1994-07-01
25.0,25.0,25.0,25.0,4.986190319061279,1300,1994-07-05
25.0,25.0,24.75,24.875,4.961261749267578,26500,1994-07-06
24.875,24.875,24.75,24.75,4.936330795288086,12500,1994-07-07
24.75,25.0,24.75,24.75,4.936330795288086,10600,1994-07-08
24.75,24.75,24.375,24.375,4.861537456512451,3100,1994-07-11
24.5,24.75,24.5,24.75,4.936330795288086,8000,1994-07-12
24.75,25.625,24.75,25.625,5.110849380493164,3900,1994-07-13
25.375,26.0,25.125,26.0,5.185639381408691,6800,1994-07-14
26.25,26.875,26.125,26.625,5.3102946281433105,6500,1994-07-15
26.375,26.5,26.25,26.25,5.325510501861572,2000,1994-07-18
26.0,26.375,26.0,26.125,5.300149917602539,2100,1994-07-19
26.0,26.0,25.625,25.875,5.249432563781738,6100,1994-07-20
25.625,25.75,25.375,25.75,5.224074840545654,2100,1994-07-21
25.75,25.75,25.5,25.75,5.224074840545654,1700,1994-07-22
25.75,25.75,25.75,25.75,5.224074840545654,400,1994-07-25
25.75,26.0,25.5,25.5,5.1733551025390625,4400,1994-07-26
25.375,25.375,25.0,25.25,5.122633457183838,4800,1994-07-27
25.0,25.0,24.75,24.875,5.0465569496154785,11400,1994-07-28
24.875,24.875,24.25,24.5,4.970478057861328,9200,1994-07-29
24.75,25.125,24.625,24.875,5.0465569496154785,4400,1994-08-01
24.625,24.875,24.625,24.75,5.021193981170654,900,1994-08-02
25.0,25.125,24.75,25.0,5.071913242340088,4900,1994-08-03
24.75,25.125,24.75,25.125,5.097273826599121,4600,1994-08-04
25.375,25.75,25.25,25.5,5.1733551025390625,4100,1994-08-05
25.25,25.5,25.25,25.5,5.1733551025390625,2700,1994-08-08
25.5,25.625,25.25,25.25,5.122633457183838,1700,1994-08-09
25.25,25.625,25.25,25.25,5.122633457183838,14200,1994-08-10
25.375,25.375,25.375,25.375,5.147994041442871,300,1994-08-11
25.625,25.75,25.625,25.75,5.224074840545654,2100,1994-08-12
25.625,25.625,24.875,25.0,5.071913242340088,9800,1994-08-15
24.75,25.125,24.75,25.125,5.097273826599121,15600,1994-08-16
25.375,25.5,25.125,25.25,5.122633457183838,19300,1994-08-17
25.125,25.25,24.5,24.875,5.0465569496154785,29200,1994-08-18
24.25,24.875,24.125,24.5,4.970478057861328,764300,1994-08-19
