Open,High,Low,Close,Adj Close,Volume,Date
10.0,11.75,10.0,11.625,9.887679100036621,15815400,1991-12-17
11.5,11.625,11.375,11.5,9.781362533569336,2662600,1991-12-18
11.375,11.5,11.125,11.25,9.568724632263184,1017600,1991-12-19
11.5,11.625,11.25,11.5,9.781362533569336,513800,1991-12-20
11.375,11.875,11.375,11.875,10.100318908691406,493200,1991-12-23
11.875,12.125,11.625,12.0,10.20664119720459,492400,1991-12-24
11.875,13.75,11.875,13.5,11.482471466064453,582600,1991-12-26
13.5,13.625,12.875,13.5,11.482471466064453,720800,1991-12-27
13.375,15.375,13.375,14.25,12.120380401611328,1435000,1991-12-30
14.5,14.875,14.25,14.875,12.651982307434082,440800,1991-12-31
14.5,14.75,13.875,14.25,12.120380401611328,1389600,1992-01-02
14.25,15.25,14.25,15.125,12.864617347717285,353800,1992-01-03
15.125,15.5,14.875,15.5,13.183572769165039,442800,1992-01-06
15.375,15.375,14.875,15.0,12.758296966552734,666200,1992-01-07
14.75,15.375,14.625,15.0,12.758296966552734,975000,1992-01-08
15.125,15.125,14.5,14.5,12.333019256591797,376800,1992-01-09
14.75,14.875,14.5,14.875,12.651982307434082,426600,1992-01-10
15.0,15.25,14.625,15.25,12.97093391418457,62600,1992-01-13
15.25,15.3125,14.875,15.125,12.864617347717285,56800,1992-01-14
15.0,15.25,14.875,15.0,12.758296966552734,251600,1992-01-15
14.875,15.125,14.375,14.75,12.545660972595215,801000,1992-01-16
14.5,14.625,14.25,14.375,12.226704597473145,288400,1992-01-17
14.375,14.625,13.625,13.625,11.588786125183105,242800,1992-01-20
13.5,13.625,12.125,13.5,11.482471466064453,823200,1992-01-21
13.375,13.875,13.375,13.75,11.695108413696289,171400,1992-01-22
14.25,14.875,14.0,14.75,12.545660972595215,578800,1992-01-23
15.0,15.625,14.625,15.5,13.183572769165039,591600,1992-01-24
15.375,15.75,15.375,15.5,13.183572769165039,484800,1992-01-27
15.75,15.75,15.375,15.625,13.289894104003906,556200,1992-01-28
15.75,16.25,15.625,15.875,13.502534866333008,410000,1992-01-29
15.625,16.0,15.625,15.9375,13.55568790435791,195000,1992-01-30
15.75,16.25,15.75,16.0,13.608855247497559,194600,1992-01-31
16.0,16.25,16.0,16.25,13.821493148803711,70600,1992-02-03
16.25,16.625,16.0,16.375,13.927807807922363,494600,1992-02-04
16.375,16.5,16.25,16.25,13.821493148803711,196400,1992-02-05
16.25,16.5,16.25,16.5,14.034124374389648,524000,1992-02-06
16.5,16.625,16.25,16.625,14.140453338623047,183600,1992-02-07
16.625,16.875,16.375,16.875,14.353086471557617,125000,1992-02-10
16.875,17.125,16.0,16.625,14.140453338623047,517400,1992-02-11
16.75,16.875,16.5,16.625,14.140453338623047,153800,1992-02-12
16.9375,17.0,16.375,16.5,14.034124374389648,292800,1992-02-13
16.375,16.5,16.125,16.25,13.821493148803711,234400,1992-02-14
16.25,16.5,16.125,16.375,13.927807807922363,171800,1992-02-18
16.5,16.5,15.875,16.0,13.608855247497559,278200,1992-02-19
16.25,16.75,16.0,16.375,13.927807807922363,613600,1992-02-20
16.75,17.875,16.625,17.75,15.097323417663574,600800,1992-02-21
17.75,17.75,16.625,16.625,14.140453338623047,348800,1992-02-24
16.75,16.75,15.625,16.125,13.715170860290527,304600,1992-02-25
15.875,16.375,15.875,16.25,13.821493148803711,104800,1992-02-26
16.25,16.25,15.375,15.75,13.396214485168457,199400,1992-02-27
15.375,15.75,15.375,15.75,13.396214485168457,106200,1992-02-28
15.75,15.75,15.0,15.25,12.97093391418457,503600,1992-03-02
15.0,15.25,14.625,14.875,12.651982307434082,274000,1992-03-03
14.75,14.75,14.375,14.6875,12.492501258850098,810200,1992-03-04
14.625,15.625,14.625,15.125,12.864617347717285,378400,1992-03-05
15.125,15.25,14.75,14.75,12.545660972595215,163800,1992-03-06
15.125,15.25,14.75,15.125,12.864617347717285,108400,1992-03-09
15.25,15.75,15.125,15.75,13.396214485168457,144200,1992-03-10
15.75,15.75,15.0625,15.375,13.077256202697754,189600,1992-03-11
15.25,15.5,15.125,15.5,13.183572769165039,78200,1992-03-12
15.25,15.5,15.25,15.25,12.97093391418457,47200,1992-03-13
15.5,15.5,15.0,15.375,13.077256202697754,51400,1992-03-16
15.375,15.375,14.875,15.25,12.97093391418457,164000,1992-03-17
15.125,15.125,14.625,14.875,12.651982307434082,250800,1992-03-18
14.875,14.875,14.625,14.75,12.545660972595215,131400,1992-03-19
14.875,15.5,14.6875,15.3125,13.024096488952637,89400,1992-03-20
15.375,15.75,15.125,15.5,13.183572769165039,239200,1992-03-23
15.375,15.75,15.375,15.75,13.396214485168457,141000,1992-03-24
15.75,15.75,15.375,15.6875,13.34305477142334,9200,1992-03-25
15.75,16.5,15.6875,16.375,13.927807807922363,101800,1992-03-26
16.375,16.375,16.125,16.375,13.927807807922363,88200,1992-03-27
