Open,High,Low,Close,Adj Close,Volume,Date
32.125,33.0,30.875,31.5,25.81731605529785,19963800,1997-06-12
31.75,32.875,31.75,32.375,26.534473419189453,3661100,1997-06-13
32.25,32.5,30.625,30.875,25.305070877075195,2481700,1997-06-16
30.125,30.25,29.125,29.75,24.38302230834961,2283800,1997-06-17
29.75,29.75,28.125,28.375,23.256074905395508,1749900,1997-06-18
28.5,29.625,28.25,29.375,24.0756778717041,1269900,1997-06-19
29.5,30.25,29.375,29.5,24.178119659423828,859100,1997-06-20
29.875,29.875,28.125,28.25,23.153627395629883,725000,1997-06-23
28.5,29.625,27.125,28.875,23.665884017944336,1212100,1997-06-24
29.125,29.125,28.125,28.6875,23.5122013092041,726600,1997-06-25
28.125,28.5,27.625,28.25,23.153627395629883,534500,1997-06-26
28.125,28.375,27.1875,27.25,22.33403778076172,441500,1997-06-27
27.125,27.625,26.25,27.375,22.43648338317871,796900,1997-06-30
27.25,27.3125,26.5,26.9375,22.07790756225586,621300,1997-07-01
26.9375,27.9375,26.625,27.8125,22.795047760009766,818700,1997-07-02
27.5625,28.1875,26.75,28.0625,22.999950408935547,696800,1997-07-03
28.5,28.625,27.0,27.125,22.23158073425293,1180500,1997-07-07
27.25,27.6875,27.125,27.6875,22.692604064941406,595000,1997-07-08
27.6875,27.6875,26.375,26.625,21.821779251098633,958000,1997-07-09
26.25,26.3125,25.125,25.5,20.899734497070312,1069200,1997-07-10
25.625,26.125,25.375,25.9375,21.258310317993164,674600,1997-07-11
26.1875,26.25,25.4375,25.6875,21.05341339111328,471200,1997-07-14
25.3125,25.5625,25.0,25.4375,20.848506927490234,513000,1997-07-15
25.5625,25.5625,23.75,23.8125,19.51666259765625,899600,1997-07-16
24.0,26.25,23.9375,26.0625,21.36075210571289,1286200,1997-07-17
26.125,26.5,25.3125,25.875,21.20707893371582,346200,1997-07-18
25.8125,25.8125,25.0,25.3125,20.746068954467773,216600,1997-07-21
25.125,25.875,25.125,25.625,21.002178192138672,351200,1997-07-22
25.625,26.125,25.0,25.0,20.48994255065918,507100,1997-07-23
25.0,25.75,24.25,24.625,20.182586669921875,412800,1997-07-24
24.875,25.0,24.1875,24.625,20.182586669921875,253000,1997-07-25
24.875,25.4375,24.375,25.25,20.69483184814453,953700,1997-07-28
25.5,26.6875,25.5,26.6875,21.873010635375977,1028100,1997-07-29
26.8125,27.9375,26.6875,27.75,22.743833541870117,801700,1997-07-30
27.875,28.0,26.6875,26.8125,21.9754581451416,458400,1997-07-31
26.3125,27.0,26.25,26.625,21.821779251098633,250100,1997-08-01
26.375,27.875,26.25,27.625,22.64137840270996,629700,1997-08-04
28.125,28.4375,26.5,27.0625,22.180347442626953,1157400,1997-08-05
27.0625,27.125,26.25,26.5,21.719327926635742,350500,1997-08-06
26.5,26.6875,25.75,25.75,21.1046199798584,456200,1997-08-07
25.5,25.6875,24.75,25.25,20.69483184814453,576100,1997-08-08
25.375,25.375,24.5,24.75,20.285036087036133,370400,1997-08-11
25.0,25.4375,24.3125,24.3125,19.926456451416016,910300,1997-08-12
24.5,25.1875,23.8125,24.375,19.977685928344727,416500,1997-08-13
24.625,24.75,23.9375,24.0,19.670339584350586,309000,1997-08-14
24.0,24.0,22.875,23.0625,18.901968002319336,1385300,1997-08-15
23.5625,23.6875,22.9375,23.5,19.26053810119629,551500,1997-08-18
23.375,24.25,23.375,24.25,19.875234603881836,380800,1997-08-19
24.875,25.625,24.6875,25.625,21.002178192138672,621500,1997-08-20
25.375,25.5625,24.5,24.75,20.285036087036133,479600,1997-08-21
24.125,24.625,24.0,24.5,20.080141067504883,408100,1997-08-22
25.0,25.0625,24.1875,24.3125,19.926456451416016,230200,1997-08-25
24.25,24.9375,24.125,24.6875,20.233810424804688,296300,1997-08-26
24.9375,25.0,24.25,24.5,20.080141067504883,619500,1997-08-27
24.5,25.375,24.375,25.3125,20.746068954467773,492400,1997-08-28
25.3125,26.875,25.25,26.25,21.514436721801758,686100,1997-08-29
