Open,High,Low,Close,Adj Close,Volume,Date
9.0625,9.3125,8.125,8.875,8.725939750671387,5718100,1999-06-16
8.75,8.875,7.75,8.6875,8.541589736938477,542200,1999-06-17
8.5625,9.125,8.5625,9.0,8.848840713500977,557600,1999-06-18
9.0625,9.75,9.0,9.25,9.09464168548584,218000,1999-06-21
9.0625,9.5,9.0,9.0625,8.91029167175293,281400,1999-06-22
9.0,9.5,9.0,9.375,9.217543601989746,395200,1999-06-23
9.375,9.625,9.0,9.125,8.971742630004883,238100,1999-06-24
9.125,9.21875,9.0,9.1875,9.033191680908203,172400,1999-06-25
9.0,9.375,9.0,9.25,9.09464168548584,81400,1999-06-28
9.375,10.25,9.25,9.375,9.217543601989746,321500,1999-06-29
9.375,10.125,9.375,9.6875,9.52479362487793,429900,1999-06-30
9.8125,10.375,9.5,9.9375,9.770597457885742,363500,1999-07-01
10.125,10.875,10.125,10.875,10.692349433898926,460800,1999-07-02
10.875,11.0,10.5,10.6875,10.507999420166016,565900,1999-07-06
10.6875,11.125,10.375,10.875,10.692349433898926,270500,1999-07-07
11.75,13.0,11.375,12.25,12.044256210327148,1793800,1999-07-08
12.25,13.75,12.1875,13.5,13.273262977600098,1738400,1999-07-09
14.0,15.375,13.625,14.8125,14.56371784210205,5465000,1999-07-12
15.3125,15.3125,12.625,13.375,13.150359153747559,2568600,1999-07-13
13.75,13.75,11.875,13.375,13.150359153747559,970700,1999-07-14
13.8125,14.0,12.75,13.125,12.904561042785645,572700,1999-07-15
13.375,14.25,13.1875,14.0,13.764864921569824,793100,1999-07-16
14.25,14.375,13.5,14.0,13.764864921569824,336500,1999-07-19
14.0,14.0625,12.5,12.9375,12.720209121704102,324300,1999-07-20
13.0,13.3125,12.5,12.5,12.290058135986328,237600,1999-07-21
12.75,12.75,11.875,12.0,11.798454284667969,165100,1999-07-22
12.125,12.25,11.0,11.5,11.306853294372559,178500,1999-07-23
11.5,11.5,9.75,10.375,10.200746536254883,363400,1999-07-26
10.40625,10.875,9.875,10.375,10.200746536254883,312600,1999-07-27
10.5625,11.875,10.25,11.25,11.061050415039062,176700,1999-07-28
11.0,11.75,10.5625,11.375,11.183952331542969,165400,1999-07-29
11.375,12.0625,10.5,11.125,10.938150405883789,237500,1999-07-30
11.5,13.25,10.875,11.25,11.061050415039062,503900,1999-08-02
11.75,12.5,11.625,12.125,11.921354293823242,265300,1999-08-03
12.0,12.0625,11.25,11.5,11.306853294372559,186900,1999-08-04
11.375,11.625,10.25,11.625,11.429753303527832,188600,1999-08-05
11.5,11.5,10.5,11.0,10.815250396728516,77400,1999-08-06
11.0625,11.4375,9.875,10.0,9.832046508789062,105900,1999-08-09
9.875,10.25,9.0625,9.15625,9.002466201782227,369700,1999-08-10
9.5,10.0,9.125,9.875,9.709144592285156,351000,1999-08-11
10.4375,11.5,10.0,10.9375,10.753799438476562,413900,1999-08-12
11.375,11.625,10.625,11.0,10.815250396728516,275600,1999-08-13
11.25,11.25,10.75,10.875,10.692349433898926,98900,1999-08-16
11.0,11.5,10.875,11.5,11.306853294372559,149100,1999-08-17
11.5,11.625,10.9375,10.9375,10.753799438476562,100300,1999-08-18
10.96875,11.3125,10.75,11.125,10.938150405883789,39200,1999-08-19
11.25,11.375,11.0,11.25,11.061050415039062,42400,1999-08-20
11.4375,11.5,10.875,10.9375,10.753799438476562,65000,1999-08-23
11.25,11.25,10.625,11.125,10.938150405883789,108000,1999-08-24
10.875,11.25,10.875,11.0,10.815250396728516,112800,1999-08-25
11.09375,11.09375,10.75,10.9375,10.753799438476562,135500,1999-08-26
10.9375,11.0625,10.625,10.9375,10.753799438476562,434800,1999-08-27
11.0,11.25,10.875,11.0,10.815250396728516,88500,1999-08-30
11.0,11.4375,10.8125,11.4375,11.245400428771973,153000,1999-08-31
11.4375,11.9375,11.125,11.25,11.061050415039062,87000,1999-09-01
11.25,11.375,10.8125,11.0625,10.876699447631836,80800,1999-09-02
11.21875,11.75,11.0,11.75,11.552653312683105,91900,1999-09-03
12.0,12.0625,11.25,11.3125,11.122502326965332,58300,1999-09-07
11.375,11.4375,11.25,11.375,11.183952331542969,96100,1999-09-08
11.40625,12.625,11.3125,12.5,12.290058135986328,179900,1999-09-09
12.5,13.5,12.3125,12.5625,12.351506233215332,249300,1999-09-10
12.8125,12.9375,11.8125,12.4375,12.228606224060059,363900,1999-09-13
12.5,13.0,12.25,13.0,12.781660079956055,238300,1999-09-14
12.9375,13.5,12.875,13.375,13.150359153747559,271500,1999-09-15
13.71875,13.75,13.125,13.1875,12.966011047363281,159600,1999-09-16
13.3125,13.75,13.125,13.75,13.519061088562012,199700,1999-09-17
13.6875,13.6875,12.5,12.9375,12.720209121704102,90500,1999-09-20
12.84375,13.1875,12.375,12.625,12.412957191467285,129200,1999-09-21
12.71875,13.5625,12.6875,13.4375,13.211811065673828,92200,1999-09-22
13.0625,13.5,12.625,12.8125,12.597308158874512,146000,1999-09-23
12.875,13.0,12.25,12.375,12.167156219482422,148000,1999-09-24
12.71875,13.25,12.0,12.6875,12.474407196044922,127500,1999-09-27
12.09375,12.6875,11.75,12.25,12.044256210327148,85200,1999-09-28
12.0,12.125,11.25,11.25,11.061050415039062,160200,1999-09-29
11.5,11.625,10.0,10.875,10.692349433898926,134900,1999-09-30
10.5,11.0625,10.5,10.9375,10.753799438476562,113100,1999-10-01
10.96875,11.125,10.875,11.0,10.815250396728516,146400,1999-10-04
11.03125,11.5,10.25,10.3125,10.139296531677246,64900,1999-10-05
11.0,11.375,10.625,10.9375,10.753799438476562,90800,1999-10-06
11.0,11.0625,10.5625,10.625,10.446548461914062,69800,1999-10-07
10.6875,11.125,10.625,11.0,10.815250396728516,54200,1999-10-08
10.9375,11.0,10.625,10.75,10.569449424743652,25400,1999-10-11
10.75,10.9375,10.0625,10.25,10.07784652709961,54600,1999-10-12
10.59375,10.59375,10.0,10.0,9.832046508789062,37900,1999-10-13
10.1875,10.4375,10.0,10.375,10.200746536254883,204700,1999-10-14
10.1875,10.5,9.4375,10.0,9.832046508789062,140700,1999-10-15
9.78125,11.0,9.5625,11.0,10.815250396728516,98700,1999-10-18
10.71875,11.0625,10.25,10.4375,10.262197494506836,121200,1999-10-19
10.5625,10.875,9.6875,9.6875,9.52479362487793,47400,1999-10-20
9.65625,10.75,9.5,10.125,9.954946517944336,52100,1999-10-21
10.4375,10.625,9.75,10.0,9.832046508789062,17800,1999-10-22
10.0,10.1875,9.75,9.75,9.586244583129883,26400,1999-10-25
10.0,10.25,9.875,10.0625,9.8934965133667,39700,1999-10-26
