Open,High,Low,Close,Adj Close,Volume,Date
0.0,8.71875,8.71875,8.71875,3.2373533248901367,53200,1975-11-17
0.0,8.96875,8.96875,8.96875,3.3301806449890137,106800,1975-11-18
0.0,8.5625,8.5625,8.5625,3.179337501525879,170400,1975-11-19
0.0,8.4375,8.4375,8.4375,3.1329233646392822,61200,1975-11-20
0.0,8.4375,8.4375,8.4375,3.1329233646392822,64000,1975-11-21
0.0,8.40625,8.40625,8.40625,3.121320962905884,88400,1975-11-24
0.0,8.375,8.375,8.375,3.1097164154052734,75200,1975-11-25
0.0,8.4375,8.4375,8.4375,3.1329233646392822,89200,1975-11-26
0.0,8.5,8.5,8.5,3.156128406524658,95600,1975-11-28
0.0,8.25,8.25,8.25,3.0633020401000977,102400,1975-12-01
0.0,7.875,7.875,7.875,2.924062728881836,78400,1975-12-02
0.0,7.5,7.5,7.5,2.7848217487335205,86400,1975-12-03
0.0,7.5,7.5,7.5,2.7848217487335205,48800,1975-12-04
0.0,7.4375,7.4375,7.4375,2.7616138458251953,62800,1975-12-05
0.0,7.4375,7.4375,7.4375,2.7616138458251953,87600,1975-12-08
0.0,7.4375,7.4375,7.4375,2.7616138458251953,158800,1975-12-09
0.0,7.46875,7.46875,7.46875,2.773216485977173,99600,1975-12-10
0.0,7.5,7.5,7.5,2.7848217487335205,62400,1975-12-11
0.0,7.875,7.875,7.875,2.924062728881836,116400,1975-12-12
0.0,7.84375,7.84375,7.84375,2.9124603271484375,170800,1975-12-15
0.0,7.96875,7.96875,7.96875,2.9588711261749268,110400,1975-12-16
0.0,8.03125,8.03125,8.03125,2.9820773601531982,92800,1975-12-17
0.0,8.0625,8.0625,8.0625,2.9936811923980713,81200,1975-12-18
0.0,8.0,8.0,8.0,2.970475196838379,130800,1975-12-19
0.0,8.0,8.0,8.0,2.970475196838379,67200,1975-12-22
0.0,8.03125,8.03125,8.03125,2.9820773601531982,59600,1975-12-23
0.0,7.8125,7.8125,7.8125,2.9008538722991943,135200,1975-12-24
0.0,7.84375,7.84375,7.84375,2.9124603271484375,46800,1975-12-26
